id,tokens,labels
TR-0,"['What' 'is' 'here' 'called' 'controlled' 'natural' 'language' '(' 'CNL'
 ')' 'has' 'traditionally' 'been' 'given' 'many' 'different' 'names' '.']",[4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4]
TR-1,"['In' 'this' 'paper' ',' 'we' 'introduce' 'CoQA' ',' 'a' 'Conversational'
 'Question' 'Answering' 'dataset' 'for' 'measuring' 'the' 'ability' 'of'
 'machines' 'to' 'participate' 'in' 'a' 'question' '-' 'answering' 'style'
 'conversation' '.']",[4 4 4 4 4 4 1 4 4 0 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-2,"['in' ':' 'Proceedings' 'of' 'SODA' '98' ',' 'Ninth' 'Annual' 'ACM' '-'
 'SIAM' 'Symposium' 'on' 'Discrete' 'Algorithms' ',' 'San' 'Francisco' ','
 'CA' ',' 'USA' ',' '1998' ',' 'pp' '.']",[4 4 4 4 1 4 4 4 4 1 4 1 4 4 4 4 4 4 4 4 1 4 1 4 4 4 4 4]
TR-3,"['But' 'is' 'the' 'existing' 'HPC' 'I' '/' 'O' 'stack' 'still' 'suitable'
 'for' 'new' 'NVM' 'devices' 'like' 'Intel' 'Optane' '?']",[4 4 4 4 1 3 3 3 4 4 4 4 4 1 4 4 4 4 4]
TR-4,"['For' 'a' 'fixed' 'and' 'known' ',' 'we' 'apply' 'a' 'successive'
 'convex' 'approximation' '(' 'SCA' ')' 'approach' 'to' 'transform' 'the'
 'non' '-' 'convex' 'problem' 'into' 'a' 'sequence' 'of' 'relaxed'
 'convex' 'subproblems' '.']",[4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-5,['Section' 'II' 'introduces' 'issues' 'relevant' 'to' 'VMP' '.'],[4 4 4 4 4 4 1 4]
TR-6,"['A' 'near' 'optimal' 'solution' 'is' 'proposed' 'using' 'Geometric'
 'Programming' '(' 'GP' ')' 'to' 'optimally' 'solve' 'the' 'problem' 'in'
 'a' 'time' '-' 'slotted' 'period' '.']",[4 4 4 4 4 4 4 0 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-7,"['b' ')' ',' 'this' 'regularization' 'induces' 'an' 'output'
 'distribution' 'that' 'is' 'close' 'to' 'an' 'input' 'distribution' 'in'
 'CT' 'values' ',' 'and' 'aims' 'to' 'ensure' 'that' 'the' 'generators'
 'translate' 'the' 'sparse' 'artifacts' 'rather' 'than' 'dense'
 'anatomical' 'structures' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-8,"['The' 'Principal' 'Component' 'Analysis' '(' 'PCA' ')' 'is' 'used' 'for'
 'dimension' 'reduction' '.']",[4 0 2 2 4 1 4 4 4 4 4 4 4]
TR-9,"['This' 'should' 'certainly' 'be' 'true' 'of' 'the' 'New' 'Technology'
 'File' 'System' '(' 'NTFS' ')' ',' 'since' 'NTFS' 'is' 'currently' 'the'
 'most' 'common' 'file' 'system' 'in' 'use' '.']",[4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-10,"['This' 'approach' ',' 'described' 'in' 'Subsection' ',' 'leads' 'to' 'a'
 'conjunctive' 'normal' 'form' '(' 'CNF' ')' 'proposition' 'containing'
 'clauses' 'of' 'various' 'sizes' '.']",[4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4]
