id,tokens,ner_tags
0,"['Vertaling' 'van' 'die' 'inligting' 'in' 'die' 'oorblywende' 'amptelike'
 'tale' 'sal' 'na' 'verwagting' 'teen' 'Maart' '2007' 'afgehandel' 'wees'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 0 0 0]
1,"['Dienste-inligting' 'word' 'oorspronklik' 'in' 'Engels' 'opgestel' ','
 'waarna' 'dit' 'in' 'die' 'ander' 'tale' 'vertaal' 'word' '.']",[0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0]
2,"['Gebruik' 'die' 'Kontak' 'ons' 'bladsy' 'om' 'kommentaar' 'te' 'lewer'
 'oor' 'of' 'navraag' 'te' 'doen' 'na' 'die' 'Regeringsdienste-webtuiste'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,"['Sien' 'Terme' 'en' 'Voorwaardes' ',' 'par.' '4.3' '.']",[0 0 0 0 0 0 0 0]
4,"['Regeringskommunikasie' '(' 'GCIS' ')' 'is' 'verantwoordelik' 'vir' 'die'
 'oorkoepelende' 'bestuur' 'en' 'koördinering' 'van' 'die' 'webtuiste'
 'se' 'inhoud' '.']",[3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5,"['Ten' 'einde' 'PDF-dokumente' 'te' 'kan' 'oopmaak' ',' 'moet' 'jy'
 'Adobe' 'Acrobat' 'Reader' '4' 'of' 'hoër' 'op' 'jou' 'rekenaar'
 'geïnstalleer' 'hê' '.']",[0 0 7 0 0 0 0 0 0 3 4 7 8 0 0 0 0 0 0 0 0]
6,['Soms' 'neem' 'dit' 'lank' 'om' 'PDF-dokumente' 'oop' 'te' 'maak' '.'],[0 0 0 0 0 7 0 0 0 0]
7,['Wanneer' 'jy' 'Internet' 'Explorer' 'as' 'jou' 'blaaier' 'gebruik' ':'],[0 0 7 8 0 0 0 0 0]
8,"['In' 'die' 'tuimel-kieslys' 'wat' 'verskyn' ',' 'kies' ""'"" 'Save'
 'Target' 'As' ""'"" '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
9,"['In' 'die' ""'"" 'Save' 'As' ""'"" 'venstertjie' ',' 'kies' 'die' 'plek' 'op'
 'jou' 'hardeskyf' 'waar' 'jy' 'die' 'dokument' 'wil' 'stoor' 'en' 'klik'
 'op' 'die' ""'"" 'Save' ""'"" 'knoppie' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,"['Maak' 'jou' 'Acrobat' 'Reader' 'toepassing' 'oop' 'en' 'maak' 'daarna'
 'die' 'dokumente' 'wat' 'jy' 'afgelaai' 'het' 'oop' '.']",[0 0 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0]
11,['Wanneer' 'jy' 'Netscape' 'as' 'jou' 'blaaier' 'gebruik' ':'],[0 0 3 0 0 0 0 0]
12,"['In' 'die' ""'"" 'Save' 'As' ""'"" 'venstertjie' ',' 'kies' 'die' 'plek' 'op'
 'jou' 'hardeskyf' 'waar' 'jy' 'die' 'dokument' 'wil' 'stoor' 'en' 'klik'
 'op' 'die' ""'"" 'Save' ""'"" 'knoppie' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
13,"['Maak' 'jou' 'Acrobat' 'Reader' 'toepassing' 'oop' 'en' 'maak' 'daarna'
 'ook' 'die' 'dokumente' 'wat' 'jy' 'afgelaai' 'het' 'oop' '.']",[0 0 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,"['Kontak' 'ons' 'asseblief' '(' 'electronic@gcis.gov.za' ')' 'indien' 'jy'
 'enige' 'probleme' 'met' 'die' 'webtuiste' 'ondervind' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
