text,label
 اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها,1
 الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,0
 كله رائع بجد ربنا يكرمك,1
 لسانك قذر يا قمامه,0
​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,0
ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,1
ابو الشباب راعي العود ليش ماوزنه في البيت غباء,0
ابو معيتق قطع اوتار العود وقال السلام عليكم,0
اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,1
اترك ما تهوى لاجل من تخشى,1
اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,0
اتفه على هيك برنامج عالمي,0
اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,0
اجتماع حواء اكيد في خرفنه ,0
اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,0
احب الله تعالى و رسوله الكريم,1
احتمال ما يشارك الليو البايخ,0
احذفه لاني بجلس احش فيهم لمين اكفر,0
احس انه يفطر حشيش,0
احسن اظن بالله وتوكل عليه وحده,1
احسن شيء العمل الذي يؤدي للاستمراريه,1
احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,1
احسنت كلام دقيق جدا,1
احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم ,1
احقر من هيك خيانه ما في,0
احلى اشي الواحد يوكل بدون ما يطبخ,1
احلى اشي في الحياه الاستقرار مع زوج صالح,1
احلى شىء النهايه الباقيه صح كلامك,1
احلى صباح من احلى شيخ في العالم,1
احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,0
احيانا الوحده تزيل بعضا من الهموم,1
احيانا يكون الفشل دافع للنجاح,1
اخ يا بطني عورني من الضحكك,0
اخبار مسخره,0
اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,0
اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,0
اخر واحد مهستر,0
اخرس صحيح ما تفهم,0
ادعي من الله ان يقوني علي طاعته,1
اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي ,1
اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى,1
اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,0
اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي,1
اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,1
اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن,0
اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,0
اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,0
اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!,0
اذا لم تقل لا للظلم فسيستمر الى الابد,1
اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,0
ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,1
ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,0
ارحمونا من الجوكر,0
اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,1
اسال الله ان يرزقني من يدعو لي في ظهر الغيب,1
اسال الله عزوجل له الثبات,1
اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,1
اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,1
اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,1
استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,1
استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,0
استخفف من لجنه التحكيم,0
استعينوا بالله يا مسلمين,1
استغفر الله مجانين يروحون سوبر ستار,0
استهبال باستهبال,0
استودعكم الله الذي لا تضيع ودائعه,1
اسخف لجنه تحكيم شفتها بحياتي,0
اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,0
اسعد الله صباحكم علامتنا بالخيرات,1
اسفل من بعضهم,0
اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.,0
اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,1
اسوا شعب الله في الكوميديا,0
اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,1
اشداء على الكفار رحماء بينهم,1
اشرب من كاس المر,0
اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,1
اشي بقهر مش لا هل درجه,0
اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,1
اصدقاء اوفياء ونتعلم منهم,1
اصلا ابو وديع لو كان اجا كان خسر,0
اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات,0
اصلا سوبر ستار للعاهات,0
اصلا كتير من البنات بدهن يحكن مع الشباب,0
اصلا هدا يمسى مرض الرهاب الاجتماعي,0
اصلن صاحب البرنامج ماخذ شباب الامه مصخره,0
اصواتهم مع التوتر خربت,0
اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه,1
اضحك تضحكلك الدني,1
اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله,1
اطالب برحيل هذه الحكومه,0
اطفال اليوم رجال الغد ومستقبل الامه,1
اطمئن يا قلبى فرزقى لا ياخذه غيرى,1
اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته,0
اعطيه علي راسي هدا الصح ياحاجه الله اكبر,0
اعلن الانسحاب يا حمار,0
اعمل ليومك غدك كن متفائلا دائما يا صاحبي,1
اعنكم الله تقبل منكم يسر طريقكم,1
اغرورقت عيناي بالدموع,0
افتخر اني مسلم نعمه من نعم ربي,1
