text,rating
Jako do ceny dobra. Przyssawka mogłaby być lepsza. Po 2 miesiącach użytkowania musiałem nóżkę z przyssawką rozkręcić i przyssawkę podkleić bo guma zaczęła pękać od strony mocowania do uchwytu (uchwyt zaczął się po prostu trząść bo zrobił się luz).  Mechanizm mocowania telefonu póki co (3 miesiące użytkowania) działa bez zarzutu. ,3.0
"Na słuchawkę czekałam spory czas a po zadzwonieniu okazało się ,że paczka im się zawieruszyła i w ten sam dzień mieli wysłać najszybszym kurierem i mimo to i tak czekałam znowu gdzie bardzo mi była potrzebna.  Do tego niby bateria trzyma długo gdzie tak nie jest i słuchawka się rozłącza . Dostałam ponownie wiadomość o tym ,że znowu dostanę te samą paczkę po wiadomości do nich ,że to pomyłka Pan odpisał mi,że nie bo to gratis no to się nastawiłam ,że gratis i ,że opłacona za to ,że tyle musiałam czekać .Tym razem przyjeżdża listonosz i mówi paczka do opłaty .Paczka poszła na pocztę i tam sobie leży ;) !  ",1.0
"Czajnik na pierwszy rzut oka wygląda ok, ale nie polecam!!! Woda pomimo ciągłego gotowania nieprzyjemnie pachnie, czajnik był wygotowywany wielokrotnie w kwasku cytrynowym, sodzie, occie i nic nie pomaga zniwelować nieprzyjemnego zapachu wody. Po tygodniu wygotowywania czajnika, bo woda z niego jest nie do picia zauważyłam, że cieknie gdzieś od spodu. W porównaniu z moim starym czajnikiem mam też wrażenie, że czas oczekiwania na zagotowaną wodę jest dłuższy. ",1.0
"Bardzo fajny czajnik, na pewno nie gorszy od markowych jak Tefal czy Bosch. Trochę na początku czuć plastikiem, to mija. Ma wygodnie umieszczone przyciski - na górze, a nie na dole, co się przydaje przy myciu (nie zalewa się przycisku) i szerokie czytelne szkiełko z miarką podświetlane od środka. Wlot też szeroki, można nawet włożyć rękę przy czyszczeniu. Chińczycy dobrze odrobili lekcje.",4.0
"Pomysł na produkt (uchwyt na kierownicę) bardzo dobry natomiast wykonanie uchwytu słabe. Po około 1-2 miesiącach sporadycznego użytkowania dolna częśc uchwytu po prostu się odrywa od reszty i uchwyt nadaje się do wyrzucenia. Dolna część uchwytu oderwała się w obu sztukach zakupionego przedmiotu. Wystarczy po prostu produkować uchwyt z lepszej jakości materiałów i nie będzie tego problemu. Na ten moment mogę jedynie polecić tym, którzy za jakiś czas (1-2 miesiące) chcą kupować następną sztukę tego produktu.",2.0
"To już drugi Platronics w moim życiu (niestety poprzedni został zagubiony po około 8 latach używania :( ) i również się na tym modelu nie zawiodłem. Bardzo długi czas działania na baterii, Wygodny kształt (dla nie ale to zależy od każdego ucha). Jakość dźwięku do rozmowy bardzo dobra - do słuchania muzyki - słabo chociaż można bo słuchawka może działać w trybie multimediów (odtwarzać nie tylko rozmowy ale i to co idzie na głośnik zewnętrzny np nawigację, muzykę itp. ).  Dla mnie to doskonały produkt w niskiej cenie - bardzo polecam.",5.0
"zmywarka  po kilku miesiącach działa be zarzutu, cicha, łatwa w utrzymaniu czystości,  plus dodatkowa szuflada na sztućce, minus dolny kosz lekki przy załadunku części przedniej przechyla się, ale to kwestia przyzwyczajenia się do wkładania naczyń w pierwszej kolejności do tyłu, jeżeli mamy brudne garnki, bo tylko tam jest miejsce. Ogólnie pozytyw",4.0
Super fajny selfie stick. Rączka stojakowa rozkłada się banalnie a składa się na zasadzie magnesu który jest od dołu w pałeczkach. Sam pilot działa bez problemu wszystko w jednym i selfie i stojak. Nic już nie stoi na przeszkodzie aby robić podczas wycieczek fajne fotki z każdej perspektywy dzięki stojakowi :) Polecam,5.0
"Telefon bardzo fajny jeśli ktoś lubi Windowsa Mobile. Teraz już nie do dostania w sieciach gsm. Szkoda, że ma plastikową obudowę, lepsza by była metalowa. Aparat robi bardzo dobre zdjęcia, niestety nie ma funkcji zdjęć w serii jak 535. Odrobinę powoli się ładują aplikacje, ale nie jest to już najnowszy model więc chyba nie ma co więcej oczekiwać. Generalnie, za tą cenę, jeśli ktoś poszukuje Win to telefon warty polecenia.",4.0
"Produkt całkiem przyzwoity jeśli chodzi o cenę 5zł, jedyna wadę jaką stwierdziłem, to brak stabilności, trzęsie nim jak galaretą, więc trzeba telefon podpierać o deskę rozdzielczą aby uniknąć drgań. Telefon mocuje się  w poziomie, teoretycznie można obrócić w pionie, ale nie ma podtrzymania, więc od drgań w czasie jazy może się wysunąć i wypaść.",4.0
"Super..solidny wieszak na telefon..inne plastiki pod wpływem wibracji odpadały i pękały w miejscu gdzie znajdowała sie sprężynka, tutaj system jest solidniejszy..przyssawka stabilna..zatrzaski mocne..wykonanie naprawde warte tej ceny..jeżdżę po 600km dziennie po różnorakiej drodze..przy takich wibracjach jakie auto znosi..to wielki szacun dla tego mocowania ze jeszcze wisi i nie ma żadnych luzów.. POLECAM",5.0
"""Bez """"szału"""", aczkolwiek w tej cenie 24"""" o tak dużej jasności, 75 Hz, czasie odpowiedzi 1 ms, matowej matrycy, ponadprzeciętnym pokryciu palet w dodatku z freesync to świetna okazja. W dodatku boczne i górne ramki bardzo wąskie, intuicyjne sterowanie. Do matrycy dość mocno lgnie kurz i sprawia wrażenie martwych pikseli, jednak ekran jest w pełni zdrowy.  Z minusów - mój egzemplarz miał delikatnie przekoszony słupek mocujący, przez co po założeniu monitora na stojak zdaje się on być lekko skręcony. Dodatkowo brak regulacji wysokości i dolna ramka wyglądająca, jakby odchodziła od ekranu.  Za 640 złotych chyba lepiej się nie da.""",4.0
"""Sprzęt jest OK - górną półką toto nie jest, jednak stosunek ceny do możliwości jest bardziej niż zadowalający. Do jakości wykonania nie można się doczepić. Telefon jest mniejszy, niż się spodziewałem, krótszy niż typowy telefon 5"""", choć odrobinę szerszy. Trzeba się przyzwyczaić do selfie-aparatu u dołu ekranu, łapie człowieka z nietypowej perspektywy: wyglądam jakby natchniony, bo patrząc w ekran wyglądam jakbym spoglądał w niebo ;) Poza tym nietypowe położenie sprzętowych przycisków - po lewej. I fabrycznie androidowy klawisz """"cofnij"""" (trójkąt) wyświetla się po prawej, a kwadrat po lewej, ale to da się zmienić w ustawieniach. Po prostu wszystko trochę na opak, zmusza do zastanowienia się zanim się coś zrobi.""",5.0
"Produkt może i wygląda futurystycznie i całkiem ciekawie ale... Brak zakrzywionych uchwytów do trzymania telefonu w poziomie, telefon trzyma się tylko na ścisk szczęk. Przyssawka zepsuła się po 1 oderwaniu od szyby. Niby trzyma się dzięki klejącemu się materiałowi z którego jest zrobiona, ale zatrzask dociskający ją już nie działa. Może trafiłem taki egzemplarz a może wszystkie takie są, ",2.0
"Nie lubię smartfonów, a równocześnie potrzebuję czasem skorzystać z internetu, youtuba czy google maps ;)  Wady: Brak FaceBook, brak softu do zarządzania pod Win, tylko kilka aplikacji w KaiOS store, karty SIM Micro i Nano (nie da się zwykłej MiniSIM), brak narzędzi i informacji technicznych o telefonie - sam bym pokompilował i pokonfigurował, gdyby była dokumentacja, plastik kiepskiej jakości, Wifi b/g/n bez ac, Nie ma HDVoice, toporny wygląd menu, aparat tylko 2mpix",5.0
"Produkt spełnia swoją funkcję w 90%, minusem jest to że to uchwyt samochodowy i w dodatku grawitacyjny więc telefon tylko w pozycji portretowej, ładowanie przy nawigacji googgle maps i yanosiku nie wyrabia za bardzo z ładowaniem dodatkowo się trochę grzeje więc dobrze ustawić nawiew na uchwyt aby go schładzał. Jeszcze jednym minusem po 3tys km z tym uchwytem mogę podać, że główka która jest obrotowa przy jeździe po nie równych terenach, jakimś uskoku na drodze może opaść uchwyt w dół, polecam podkleić gwint taśmą izolacyjną i dokręcić.  Wygodny, dobrze trzyma się już w samochodzie do deski rozdzielczej, ładuje dużo lepiej niż podstawowa bez Fast Charge oryginalny uchwyt samsunga.",4.0
"Kiepska jakość. Filtr to zwykły kawałek plastiku z dziurkami, a dopasowany tak, że drobinki kamienia przepływają pod nim. Po za tym słabo spasowany z podstawką grzejną, czasami trzeba kilka razy poprawiać żeby odpowiednio wskoczył. Wylewka tak wyprofilowana, że gdy pozostaje już mniejsza ilość wody to wylewa się wszędzie tylko nie do szklanki. NIE POLECAM. Jedyna zaleta to niska cena",2.0
"Na razie jest ok, czasem się potrafi się sam wyłączyć jak bateria spadnie poniżej 50 %. Nie wiem czemu tak się dzieje. Jest na Gwaranci więc poczekam, jak dalej tak będzie reagował przy spadku baterii to będę musiał go oddać do sprawdzenia. Następna rzecz to mikrofon w tym telefonie. Bardzo kiepsko zbiera i jak się rozmawia to trzeba go trzymać blisko buzi, albo wręcz krzyczeć do telefonu.",3.0
Robi swoją robotę. Dość precyzyjnie nawiguje po pomieszczeniu i sprytnie omija przeszkody. Ogarnięcie 20m2 podłogi z paneli zajmuje mu ok. 10min.  Harmonogram przewiduje sprzątanie raz na dobę. Przydałoby się dwa razy - rano i wieczorem. Problemem są też niskie przeszkody np. 2-3cm. Uderza w nie z pełnym impetem. Przy wyższych zwalnia i jeśli uderzy to niezbyt boleśnie.  Tak czy siak ominie je w końcu.,5.0
"""Przyssawka jest dość mocna, jednak przy temperaturze słońca po prostu mięknie i nie trzyma się. Klips jest konkretny i trzyma dobrze nawet duży ciężki telefon, jednak nie da się jedną ręką zamontować czy wymontować telefonu z gadgetu. Część najdłuższa jest sztywna, co zapewnia komfort pod względem braku potrzeby poprawiania telefonu co chwilę, jednak na dziurach odczuwalne """"kiwanie się"""" urządzenia w gadgecie trochę irytuje. Z jednej strony czego się spodziewać po tak tanim produkcie, z drugiej zaś- mogłyby chociaż pół roku potrzymać...""",3.0
"Przez lata używałem szczoteczki rotacyjnej, lepiej myła niż ręczna, ale to nie było jeszcze to czego oczekiwałem. Kupiłem soniczną Berdsen i postanowiłem używać naprzemiennie. Obecnie używam tylko sonicznej bo zęby po 4 miesiącach stały się białe bez nalotów po kawie i herbacie. Rotacyjnej używam tylko jak ładuję soniczną i wtedy czuję jakby traktor ze snopowiązałką pracował w mojej jamie ustnej. Polecam wszystkim Berdsen, która ma wszystko: 3 programy, wskaźnik ładowania i wyładowania oraz jest skuteczna.",5.0
"Statyw jest dość delikatny. Czasem ma problem z utrzymaniem GoPro.  Trzeba ustawić kamerkę w pionie, ponieważ pochylenie skutkuje opadnięciem kamery (ukłonem).   Pilot działa super bezproblemowo integruje sie z Androidem na Samsungu.   Śruba w uchwycie do telefonu jest lekko luźna po wkreceniu do statywu. Tak jakby gwint nie pasował lub był wyrobiony.",3.0
"Po kilkumiesięcznym użytkowaniu robota mogę śmiało napisać że spełnił moje oczekiwania. Ucieranie masła, ubijanie piany, mieszanie a nawet zagniatanie wszelkiego ciasta od drożdżowego do ciasta na pizzę czy pierogi to teraz czysta przyjemność. Jedyne moje zastrzeżenie to przy zagniataniu ciasta trzeba zatrzymać pracę i przekręcić ciasto tak aby zebrało z dna całą mąkę bo nie zawsze dokładnie zbiera. Poza tym jednym szczegółem więcej wad nie zauważyłam. Oświetlenie misy to rewelacyjny pomysł, którego nie widziałam w innych robotach; bardzo ułatwia kontrolowanie tego co dzieje się w misie robota. Końcówki porządnie wykonane, bardzo łatwo się je zakłada i zdejmuje. Blender również świetnie sobie poradził m.in. z mrożonymi owocami. Rozdrabnia wszystko błyskawicznie i ma sporą pojemność. ",5.0
