Product Name,Brand Name,Category,Post Price,Pre Price,Discount,Basseta Payment,Rating,Item URL,Stats,Image URLs
"SAMSUNG Samsung, 65 Inch, 4K UHD 10+, Smart TV",SAMSUNG,Electronics,SAR 2599,5299 Save SAR 2700,50.95% OFF,SAR 112/month    For 36 months,4.6 (264),https://www.extra.com/en-sa/electronics/television/led/samsung-65-inch-4k-uhd-10-smart-tv/p/100336490?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100336490_100_02/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100336490_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100336490_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100336490_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100336490_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"CLASS PRO Classpro, 65 inch, 4K Smart LED TV, Google TV, Frameless, 2 USB ,4 HDMI",CLASS PRO,Electronics,SAR 1699,2999 Save SAR 1300,43.34% OFF,SAR 73/month    For 36 months,,https://www.extra.com/en-sa/electronics/television/led/classpro-65-inch-4k-smart-led-tv-google-tv-frameless-2-usb-4-hdmi/p/100335174?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100335174_100_02/Classpro%2C-65-inch%2C-4K-Smart-LED-TV%2C-Google-TV%2C-Frameless%2C-2-USB-%2C4-HDMI?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100335174_800/Classpro%2C-65-inch%2C-4K-Smart-LED-TV%2C-Google-TV%2C-Frameless%2C-2-USB-%2C4-HDMI?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100335174_800/Classpro%2C-65-inch%2C-4K-Smart-LED-TV%2C-Google-TV%2C-Frameless%2C-2-USB-%2C4-HDMI?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100335174_800/Classpro%2C-65-inch%2C-4K-Smart-LED-TV%2C-Google-TV%2C-Frameless%2C-2-USB-%2C4-HDMI?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100335174_800/Classpro%2C-65-inch%2C-4K-Smart-LED-TV%2C-Google-TV%2C-Frameless%2C-2-USB-%2C4-HDMI?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"LG LG, 65 Inch, 4K HDR 10 Pro, Smart TV",LG,Electronics,SAR 2699,6399 Save SAR 3700,57.82% OFF,SAR 116/month    For 36 months,,https://www.extra.com/en-sa/electronics/television/led/lg-65-inch-4k-hdr-10-pro-smart-tv/p/100352522?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100352522_100_02/LG%2C-65-Inch%2C-4K-HDR-10-Pro%2C-Smart-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100352522_800/LG%2C-65-Inch%2C-4K-HDR-10-Pro%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100352522_800/LG%2C-65-Inch%2C-4K-HDR-10-Pro%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100352522_800/LG%2C-65-Inch%2C-4K-HDR-10-Pro%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100352522_800/LG%2C-65-Inch%2C-4K-HDR-10-Pro%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
TCL TCL 65-Inch UHD Google LED TV,TCL,Electronics,SAR 2199,2899 Save SAR 700,24.14% OFF,SAR 95/month    For 36 months,4.6 (6),https://www.extra.com/en-sa/electronics/television/led/tcl-65-inch-uhd-google-led-tv/p/100321682?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100321682_100_02/TCL-65-Inch-UHD-Google-LED-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100321682_800/TCL-65-Inch-UHD-Google-LED-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100321682_800/TCL-65-Inch-UHD-Google-LED-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100321682_800/TCL-65-Inch-UHD-Google-LED-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100321682_800/TCL-65-Inch-UHD-Google-LED-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"BRATECK Brateck, Steel Full-Motion TV Wall Mount, 32-70"", Black",BRATECK,Electronics,SAR 129,199 Save SAR 70,35.17% OFF,SAR 6/month    For 36 months,,https://www.extra.com/en-sa/electronics/electronic-accessories/brackets/brateck-steel-full-motion-tv-wall-mount-32-70-black/p/100281059?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Functions: Not Applicable || Size: Not applicable || Made in: China,"https:////media.extra.com/i/aurora/100281059_100_02/Brateck%2C-Steel-Full-Motion-TV-Wall-Mount%2C-32-70%22%2C-Black?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100281059_800/Brateck%2C-Steel-Full-Motion-TV-Wall-Mount%2C-32-70%22%2C-Black?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100281059_800/Brateck%2C-Steel-Full-Motion-TV-Wall-Mount%2C-32-70%22%2C-Black?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100281059_800/Brateck%2C-Steel-Full-Motion-TV-Wall-Mount%2C-32-70%22%2C-Black?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100281059_800/Brateck%2C-Steel-Full-Motion-TV-Wall-Mount%2C-32-70%22%2C-Black?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
BRATECK Brateck 40-70 Inch Wall bracket For 3D LED LCD TVs,BRATECK,Electronics,SAR 99,119 Save SAR 20,16.8% OFF,SAR 5/month    For 36 months,,https://www.extra.com/en-sa/electronics/electronic-accessories/brackets/brateck-40-70-inch-wall-bracket-for-3d-led-lcd-tvs/p/00163268?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Screen Size (inch): 40-70 || HDMI: No || USB: No,"https:////media.extra.com/i/aurora/00163268_100_02/Brateck-40-70-Inch-Wall-bracket-For-3D-LED-LCD-TVs?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/00163268_800/Brateck-40-70-Inch-Wall-bracket-For-3D-LED-LCD-TVs?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/00163268_800/Brateck-40-70-Inch-Wall-bracket-For-3D-LED-LCD-TVs?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/00163268_800/Brateck-40-70-Inch-Wall-bracket-For-3D-LED-LCD-TVs?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/00163268_800/Brateck-40-70-Inch-Wall-bracket-For-3D-LED-LCD-TVs?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"SAMSUNG Samsung, 75 Inch, 4K Smart TV",SAMSUNG,Electronics,SAR 3599,7999 Save SAR 4400,55% OFF,SAR 154/month    For 36 months,5 (57),https://www.extra.com/en-sa/electronics/television/led/samsung-75-inch-4k-smart-tv/p/100336493?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100336493_100_02/Samsung%2C-75-Inch%2C-4K-Smart-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100336493_800/Samsung%2C-75-Inch%2C-4K-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100336493_800/Samsung%2C-75-Inch%2C-4K-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100336493_800/Samsung%2C-75-Inch%2C-4K-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100336493_800/Samsung%2C-75-Inch%2C-4K-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"SAMSUNG Samsung, 65 Inch, 4K UHD 10+, Smart TV",SAMSUNG,Electronics,SAR 2699,6499 Save SAR 3800,58.47% OFF,SAR 116/month    For 36 months,,https://www.extra.com/en-sa/electronics/television/led/samsung-65-inch-4k-uhd-10-smart-tv/p/100337057?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100337057_100_02/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100337057_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100337057_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100337057_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100337057_800/Samsung%2C-65-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"SAMSUNG Samsung, 58 Inch, 4K UHD 10+, Smart TV",SAMSUNG,Electronics,SAR 2149,4699 Save SAR 2550,54.26% OFF,SAR 92/month    For 36 months,,https://www.extra.com/en-sa/electronics/television/led/samsung-58-inch-4k-uhd-10-smart-tv/p/100337765?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100337765_100_02/Samsung%2C-58-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100337765_800/Samsung%2C-58-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100337765_800/Samsung%2C-58-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100337765_800/Samsung%2C-58-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100337765_800/Samsung%2C-58-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
"SAMSUNG Samsung, 55 Inch, 4K UHD 10+, Smart TV",SAMSUNG,Electronics,SAR 2049,3999 Save SAR 1950,48.76% OFF,SAR 88/month    For 36 months,4.6 (174),https://www.extra.com/en-sa/electronics/television/led/samsung-55-inch-4k-uhd-10-smart-tv/p/100336491?algoliaQueryId=69d1ceb42f71cb9fa9644532949679c4,Resolution (MP): 3840 × 2160 || Panel Type: LED || Number of HDMI Inputs: 3,"https:////media.extra.com/i/aurora/100336491_100_02/Samsung%2C-55-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&img404=edd || https:////media.extra.com/s/aurora/100336491_800/Samsung%2C-55-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100336491_800/Samsung%2C-55-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=webp&$Listing-Product-2x$ || https:////media.extra.com/s/aurora/100336491_800/Samsung%2C-55-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-1x$ || https:////media.extra.com/s/aurora/100336491_800/Samsung%2C-55-Inch%2C-4K-UHD-10%2B%2C-Smart-TV?locale=en-GB,en-*,*&fmt=jpeg&$Listing-Product-2x$"
