Title,Type,Price,Location,Country,Bedrooms,Bathrooms,Area,URL,Phone,WhatsApp Number,WhatsApp URL
امتلك فيلا تاون 284م بحديقة خاصة بمشروع فيلات فقط,Apartment,"16,500,000 EGP","La Verde, New Capital Compounds, New Capital City, Cairo",Egypt,4,3,284 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-4773284.html,19835,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+la-verde-developments-6708850%0AType%3A+Apartment%0APrice%3A+16%2C500%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4773284%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Townhouse 10% Downpayment  in MonteNapoleone,Townhouse,"6,113,210 EGP","MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Egypt,3,5,218 sqm,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-montenapoleone-3804997.html,20221257067,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+TH+4BD+-+middle%0AType%3A+Townhouse%0APrice%3A+6%2C113%2C210+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F3804997%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
A ready to move apartment in WATERWAY new cairo,Apartment,"10,500,000 EGP","The Waterway View, 90 Street, The 5th Settlement, New Cairo City, Cairo",Egypt,3,3,160 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-90-street-the-waterway-view-4802780.html,201115925940,201115925940,https://api.whatsapp.com/send?phone=+201115925940&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+WATERWAY+25-1%0AType%3A+Apartment%0APrice%3A+10%2C500%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4802780%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Below market price- Ready to move - Instellments,Duplex,"6,200,000 EGP","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",Egypt,3,3,170 sqm,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-4804478.html,201507008606,201507008606,https://api.whatsapp.com/send?phone=+201507008606&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+AD%2F50%0AType%3A+Duplex%0APrice%3A+6%2C200%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804478%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Fully Finished apartment in Dejoya 3-Delivered,Apartment,"4,928,400 EGP","De Joya, New Capital Compounds, New Capital City, Cairo",Egypt,3,3,164 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-4804575.html,201001322323,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+Yassin-164%0AType%3A+Apartment%0APrice%3A+4%2C928%2C400+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804575%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
UNDER MARKET PRICE  PRIME LOCATION  FULLY FINISHED,Villa,"69,300,000 EGP","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,5,5,400 sqm,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-4804621.html,201090648080,201090648080,https://api.whatsapp.com/send?phone=+201090648080&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+the-way-7357537%0AType%3A+Villa%0APrice%3A+69%2C300%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804621%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
apartment 155 m prime view under market price,Apartment,"6,100,000 EGP","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Egypt,3,2,155 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-4804284.html,201200010989,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+sarai+11+n%0AType%3A+Apartment%0APrice%3A+6%2C100%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804284%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
"For Sale apartment with garden At O west,Club yard",Apartment,"7,900,000 EGP","O West, 6 October Compounds, 6 October City, Giza",Egypt,2,2,120 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-o-west-4804217.html,201001136949,201070783316,https://api.whatsapp.com/send?phone=+201070783316&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+home-valley-7357044%0AType%3A+Apartment%0APrice%3A+7%2C900%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804217%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
apartment for sale early deliver in hasssan allam,Apartment,"12,000,000 EGP","Swan Lake, The 1st Settlement, New Cairo City, Cairo",Egypt,2,2,100 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-1st-settlement-swan-lake-4804548.html,201210988552,201210988552,https://api.whatsapp.com/send?phone=+201210988552&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+Mar-swanstudio-1%0AType%3A+Apartment%0APrice%3A+12%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804548%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
villa Beside the American University  in new Cairo,Townhouse,"22,500,000 EGP","Eastshire compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,4,3,220 sqm,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastshire-compound-4804630.html,201110911460,201110911460,https://api.whatsapp.com/send?phone=+201110911460&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+rody+39%0AType%3A+Townhouse%0APrice%3A+22%2C500%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804630%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Royal palace Direct view on the main park .,Villa,"65,000,000 EGP","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,7,7+,"1,300 sqm",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-4805530.html,201000092827,201000092827,https://api.whatsapp.com/send?phone=+201000092827&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+nwHPA01%0AType%3A+Villa%0APrice%3A+65%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805530%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
For sale Penthouse - fouka bay Under Market price,Penthouse,"8,000,000 EGP","Fouka Bay, Qesm Marsa Matrouh, North Coast",Egypt,3,2,112 sqm,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-qesm-marsa-matrouh-fouka-bay-4804410.html,20221257443,201019795500,https://api.whatsapp.com/send?phone=+201019795500&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+%2339863%0AType%3A+Penthouse%0APrice%3A+8%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804410%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Townhouse corner for sale in Sodic Villette,Townhouse,"26,000,000 EGP","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,4,5,400 sqm,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-4803185.html,201114434146,201114434146,https://api.whatsapp.com/send?phone=+201114434146&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+home-valley-7354201%0AType%3A+Townhouse%0APrice%3A+26%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4803185%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Apartment 204m fully finished for sale at O West..,Apartment,"13,200,000 EGP","O West, 6 October Compounds, 6 October City, Giza",Egypt,3,3,204 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-o-west-4804226.html,201001136949,201070783316,https://api.whatsapp.com/send?phone=+201070783316&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+home-valley-7353167%0AType%3A+Apartment%0APrice%3A+13%2C200%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804226%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Lowest Down payment Resale Apartment 69m .,Apartment,"2,100,000 EGP","Garden Lakes, 6 October Compounds, 6 October City, Giza",Egypt,1,2,69 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-garden-lakes-4805554.html,201222782622,201222782622,https://api.whatsapp.com/send?phone=+201222782622&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+GLM01%0AType%3A+Apartment%0APrice%3A+2%2C100%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805554%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
TownHouse ready to move for sale in Hyde Park,Townhouse,"15,211,000 EGP","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,3,3,250 sqm,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-4803773.html,201096963555,201096963555,https://api.whatsapp.com/send?phone=+201096963555&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+greenh-7356085%0AType%3A+Townhouse%0APrice%3A+15%2C211%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4803773%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
chalet fully finished in the groove el galala10%DP,Chalet,"5,000,000 EGP","The Groove, Al Ain Al Sokhna, Suez",Egypt,1,1,70 sqm,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-the-groove-4803681.html,201002924042,201002924042,https://api.whatsapp.com/send?phone=+201002924042&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+hoor-home-7355775%0AType%3A+Chalet%0APrice%3A+5%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4803681%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Duplex apartment in central location,Duplex,"10,000,000 EGP","Ahmed Heshmat St., Zamalek, Cairo",Egypt,3,4,240 sqm,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-zamalek-ahmed-heshmat-st-4803403.html,201000766001,201000766001,https://api.whatsapp.com/send?phone=+201000766001&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+4187%0AType%3A+Duplex%0APrice%3A+10%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4803403%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
DP 390K - Apartment 2BR installment 8Y Prime VIEW,Apartment,"3,900,000 EGP","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Egypt,2,2,112 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-4804139.html,20221257418,201064740003,https://api.whatsapp.com/send?phone=+201064740003&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+P+Nour112D%0AType%3A+Apartment%0APrice%3A+3%2C900%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804139%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
New Launch at Mountain View I city October,Apartment,"7,300,000 EGP","Mountain View iCity October, 6 October Compounds, 6 October City, Giza",Egypt,3,2,135 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-4805087.html,201144828252,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+MB25%0AType%3A+Apartment%0APrice%3A+7%2C300%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805087%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Lowest Price &amp; Prime location Apartment 58 SQM,Apartment,"1,800,000 EGP","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,1,1,58 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-4805521.html,201066455028,201066455028,https://api.whatsapp.com/send?phone=+201066455028&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+nwTJC029%0AType%3A+Apartment%0APrice%3A+1%2C800%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805521%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
"Standalone fullyfinished for sale Solana,New Zayed",Villa,"36,851,000 EGP","Solana, New Zayed City, Sheikh Zayed City, Giza",Egypt,5,4,388 sqm,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-solana-4804287.html,201001136949,201070783316,https://api.whatsapp.com/send?phone=+201070783316&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+home-valley-7277558%0AType%3A+Villa%0APrice%3A+36%2C851%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804287%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Ready to move - villa fully finished - Al Maqsad,Villa,"15,451,109 EGP","Al Maqsad, New Capital Compounds, New Capital City, Cairo",Egypt,5,3,688 sqm,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-4805538.html,201013210754,201063034634,https://api.whatsapp.com/send?phone=+201063034634&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+code-7362671%0AType%3A+Villa%0APrice%3A+15%2C451%2C109+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805538%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
