Speaker ID,Gender,Number of Words,Word ID,Pronunciation,Path
14,Boy,100,10,Right,ASMDD/speaker_14_b_100/10.wav
14,Boy,100,9,Right,ASMDD/speaker_14_b_100/9.wav
14,Boy,100,3,Right,ASMDD/speaker_14_b_100/3.wav
14,Boy,100,2,Right,ASMDD/speaker_14_b_100/2.wav
14,Boy,100,8,Right,ASMDD/speaker_14_b_100/8.wav
14,Boy,100,4,Right,ASMDD/speaker_14_b_100/4.wav
14,Boy,100,6,Right,ASMDD/speaker_14_b_100/6.wav
14,Boy,100,7,Right,ASMDD/speaker_14_b_100/7.wav
14,Boy,100,27,Right,ASMDD/speaker_14_b_100/27.wav
14,Boy,100,28,Right,ASMDD/speaker_14_b_100/28.wav
14,Boy,100,38,Right,ASMDD/speaker_14_b_100/38.wav
14,Boy,100,42,Right,ASMDD/speaker_14_b_100/42.wav
14,Boy,100,46,Right,ASMDD/speaker_14_b_100/46.wav
14,Boy,100,18,Right,ASMDD/speaker_14_b_100/18.wav
14,Boy,100,21,Right,ASMDD/speaker_14_b_100/21.wav
14,Boy,100,16,Right,ASMDD/speaker_14_b_100/16.wav
14,Boy,100,53,Right,ASMDD/speaker_14_b_100/53.wav
14,Boy,100,37,Right,ASMDD/speaker_14_b_100/37.wav
14,Boy,100,45,Right,ASMDD/speaker_14_b_100/45.wav
14,Boy,100,24,Right,ASMDD/speaker_14_b_100/24.wav
14,Boy,100,30,Right,ASMDD/speaker_14_b_100/30.wav
14,Boy,100,51,Right,ASMDD/speaker_14_b_100/51.wav
14,Boy,100,57,Right,ASMDD/speaker_14_b_100/57.wav
14,Boy,100,23,Right,ASMDD/speaker_14_b_100/23.wav
14,Boy,100,20,Right,ASMDD/speaker_14_b_100/20.wav
14,Boy,100,52,Right,ASMDD/speaker_14_b_100/52.wav
14,Boy,100,25,Right,ASMDD/speaker_14_b_100/25.wav
14,Boy,100,15,Right,ASMDD/speaker_14_b_100/15.wav
14,Boy,100,43,Right,ASMDD/speaker_14_b_100/43.wav
14,Boy,100,54,Right,ASMDD/speaker_14_b_100/54.wav
14,Boy,100,33,Right,ASMDD/speaker_14_b_100/33.wav
14,Boy,100,31,Right,ASMDD/speaker_14_b_100/31.wav
14,Boy,100,14,Right,ASMDD/speaker_14_b_100/14.wav
14,Boy,100,49,Right,ASMDD/speaker_14_b_100/49.wav
14,Boy,100,56,Right,ASMDD/speaker_14_b_100/56.wav
14,Boy,100,39,Right,ASMDD/speaker_14_b_100/39.wav
14,Boy,100,32,Right,ASMDD/speaker_14_b_100/32.wav
14,Boy,100,13,Right,ASMDD/speaker_14_b_100/13.wav
14,Boy,100,40,Right,ASMDD/speaker_14_b_100/40.wav
14,Boy,100,22,Right,ASMDD/speaker_14_b_100/22.wav
14,Boy,100,11,Right,ASMDD/speaker_14_b_100/11.wav
14,Boy,100,26,Right,ASMDD/speaker_14_b_100/26.wav
14,Boy,100,29,Right,ASMDD/speaker_14_b_100/29.wav
14,Boy,100,41,Right,ASMDD/speaker_14_b_100/41.wav
14,Boy,100,34,Right,ASMDD/speaker_14_b_100/34.wav
14,Boy,100,19,Right,ASMDD/speaker_14_b_100/19.wav
14,Boy,100,44,Right,ASMDD/speaker_14_b_100/44.wav
14,Boy,100,55,Right,ASMDD/speaker_14_b_100/55.wav
14,Boy,100,17,Right,ASMDD/speaker_14_b_100/17.wav
14,Boy,100,70,Right,ASMDD/speaker_14_b_100/70.wav
14,Boy,100,75,Right,ASMDD/speaker_14_b_100/75.wav
