Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Description,Car Features,Images URL's,Car Profile
1079071571,fresh import Passo 2021model,Toyota,Passo,2021,54000,4190000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Airline Avenue, Islamabad","it's 2021 model fresh import, perfect engine suspension,non accidented,push start ,fully loaded car,need to sell urgently.","ABS, Air Bags, AM/FM Radio, CD Player, Cassette Player, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera","['https://images.olx.com.pk/thumbnails/403946098-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946101-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946103-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946105-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946107-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946108-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946109-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946110-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/403946111-800x600.jpeg']",https://www.olx.com.pk/item/fresh-import-passo-2021model-iid-1079071571
1080125520,Suzuki ravi,Suzuki,Ravi,2018,95000,1300000,Petrol,Karachi,Original,Local,Manual,Used,"Kahuta, Rawalpindi",Suzuki ravi 2018 col ,AM/FM Radio,['https://images.olx.com.pk/thumbnails/410250495-800x600.jpeg'],https://www.olx.com.pk/item/suzuki-ravi-iid-1080125520
1080748789,Suzuki bolan 2015 contact 03112271054,Suzuki,Bolan,2015,50000,800000,Petrol,Karachi,Original,Local,Manual,Used,"Lyari Expressway, Karachi",Suzuki bolan model 2015 reg 2022 ghadi me koi Kam nai a,Rear speakers,"['https://images.olx.com.pk/thumbnails/413952022-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952023-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952025-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952027-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952029-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952031-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952033-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952035-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952037-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413952038-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-bolan-2015-contact-03112271054-iid-1080748789
1076081635,Diahatsu Move 2013,Daihatsu,Move,2013,94000,2155000,Petrol,Lahore,Original,Imported,Automatic,Used,"New Amir Town, Lahore","Move Push start 
Home Used car. 
Model 2013. 
Registered in 2015. 
All origina documents with smart card. 
Total Geniune few touch ups. 
Never been into any major accident.","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows","['https://images.olx.com.pk/thumbnails/386533756-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533752-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533754-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533757-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533759-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533760-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533762-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533763-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533765-800x600.jpeg']",https://www.olx.com.pk/item/diahatsu-move-2013-iid-1076081635
1080812928,Suzuki Swift DLX 2011 miner tuchap,Suzuki,Swift,2011,126544,1440000,Petrol,Karachi,Original,Local,Manual,Used,"Shadman 2, Karachi","Suzuki Swift DLX
AbS Break 100%
engine 100%
suspension 100% 
Android panel
brand new tyer 
2/3 piece Touchups
all documents clear
cplc Clear 
no work required
contact no:0/3/3/2/3/0/9/6/0/7/1","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, Power Locks, Power Mirrors, Power Steering, Power Windows","['https://images.olx.com.pk/thumbnails/414350956-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350957-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350958-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350959-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350960-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350961-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350962-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350963-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350964-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350965-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350966-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350967-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350968-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350969-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350970-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414350972-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-swift-dlx-2011-miner-tuchap-iid-1080812928
1079496823,WagonR AGS total genuine,Suzuki,Wagon R,2020,54000,2830000,Petrol,Lahore,Original,Local,Automatic,Used,"Abbot Road, Sialkot",wagon r total genuine AGS new tyre ,"ABS, Air Bags, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Power Mirrors, Power Steering, Power Windows, Rear AC Vents, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/406508386-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508387-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508388-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508389-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508390-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508391-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508392-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508393-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508394-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508395-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/406508396-800x600.jpeg']",https://www.olx.com.pk/item/wagonr-ags-total-genuine-iid-1079496823
1080333426,Daihatsu Mira,Daihatsu,Mira,2013,140000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad - Block A, Karachi",bilkul okay condition me hen engine change hen recently change karvaya hen book pe update nhe ha ,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/411496140-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496141-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496142-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496143-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496144-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496145-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496146-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496147-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496148-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496149-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496150-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496151-800x600.jpeg']",https://www.olx.com.pk/item/daihatsu-mira-iid-1080333426
1080784758,Suzuki Bolan 2016 genuine condition low mileage,Suzuki,Bolan,2016,32000,1050000,Petrol,Karachi,Original,Local,Manual,Used,"Korangi Industrial Area, Karachi",SUZUKI BOLANSuzuki Bolan 2016 genuine condition low mileage,"Alloy Rims, AM/FM Radio","['https://images.olx.com.pk/thumbnails/414172373-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414172374-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414172375-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414172376-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414172377-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414172378-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414172379-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-bolan-2016-genuine-condition-low-mileage-iid-1080784758
1076448625,2004 Honda City,Honda,City IDSI,2004,160000,1230000,Petrol,Sindh,Original,Local,Manual,Used,"Allama Iqbal Town - Huma Block, Lahore","A very well maintained  - Good consumption
no mechanical work, Excellent condition 
complete ,Engine perfect orginal condition car. .  
just buy and drive daily driven smooth car  
original condition Registered In Personal Name   
Neat and clean interior - Each and every thing is mentioned     
only contact for serious buyers -
No silly offers good fuel average 
Very good Condition. 
10/10 condition ok    
Genuine Condition. Price slightly negotiable. 

-Honda City 2004 Model    
-MODEL: 2004 Registration : 2004
-MILAGE DRIVEN:  ","ABS, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Steering, Power Windows, Rear Camera, Steering Switches","['https://images.olx.com.pk/thumbnails/388639369-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/388639370-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/392223003-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/392223004-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/392223005-800x600.jpeg']",https://www.olx.com.pk/item/2004-honda-city-iid-1076448625
1080820574,car Bashir s 80 janwan Hain 03218823600,Suzuki,Cultus VXR,2008,75000,950000,Petrol,Faisalabad,Original,Local,Manual,Used,"Al Najaf Colony, Faisalabad",Ander s hotel janvan Hain by Matrek avlebal Hain new tair new batre,"Air Conditioning, AM/FM Radio, CD Player, Cool Box, Climate Control, DVD Player, Power Locks, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/414395543-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414395544-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414395545-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414395546-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414395547-800x600.jpeg']",https://www.olx.com.pk/item/car-bashir-s-80-janwan-hain-03218823600-iid-1080820574
