Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
@abihayyyy,1,Great great sir 👍,2024-01-18T15:48:13Z,0,0,positive
@lifesolutions283,1,Sir ap se kese contact kia jae,2024-01-18T07:08:03Z,0,0,neutral
@user-cl9hn2rm7r,1,Great work keep it up,2024-01-18T02:30:55Z,0,0,positive
@arcollection5965,1,Sir g ma ya freelance  krna chati ho but mujy kuch b ni pta but i want  to learn skill,2024-01-18T00:53:57Z,0,0,neutral
@HusnainHayyat-cw4rd,1,"sir,  i husnain, aap ko faisalabad se aik brilliant student dena  chah rhaa hon?",2024-01-17T06:43:35Z,0,0,positive
@naheedasaeed1246,1,Sir I have started this basic course on youtube ...how can I get excercises...can you help me?,2024-01-15T04:47:18Z,0,0,neutral
@user-di6ux8mm2q,1,AI k lye python sekhni hogi kia ???,2024-01-14T05:01:12Z,0,0,neutral
@dr.faizakhamissa7084,1,Amazing,2024-01-13T20:57:49Z,0,0,positive
@user-yf4vt1zu9k,1,Training<br>Data<br>AI<br>API,2024-01-13T16:42:25Z,0,0,not
@user-yf4vt1zu9k,1,Skill development<br>Problem solving &amp; Critical thinking,2024-01-13T16:27:59Z,0,0,positive
@sufyansufyan2127,1,very informatic v,2024-01-12T18:42:55Z,0,0,positive
@sk-wy6lh,1,This session was really helpful irfan sir. Very nice and we are thankful to you for this 🙏🙏 bless uhh,2024-01-09T10:39:00Z,0,0,positive
@mzch9625,1,Cat is most sensitive animal of the world.<br>Thankful to you dear sirs,2024-01-09T04:42:17Z,0,0,positive
@hamaslover1,1,Love from Bangladesh,2024-01-08T19:36:50Z,0,0,positive
@user-vv7ol4gc6w,1,M b practical krna chahti hun sir,2024-01-08T19:18:25Z,0,0,not
@user-po5bb7yb3o,1,Aslamualikum sir ma na  simple M A kia hua ha kia ma A I seekh skta hoon plz guide me or kahan sy seekhu,2024-01-08T18:38:24Z,0,0,neutral
@mradeel2060,1,Thank you for the great lecture,2024-01-07T10:06:59Z,0,0,positive
@Sirajullah-vv4mf,1,بڑے افسوس کے ساتھ کہنا پڑ رھا ھے کہ میں نے اپنے اردگرد جتنے بھی لوگوں سے AI کے بارے میں پوچھا تو 98 ٪ لوگوں کو AI کے بارے میں کچھ بھی پتہ نہیں اور نہ کسی کو AI سے کوئی غرض ھے پتہ نہیں ھم باقی دنیا سے کتنے پیچھے ھیں۔,2024-01-07T07:01:14Z,0,0,negative
@mutabarshah3695,1,"I&#39;d like to express my gratitude to Muhammad Irfan and his entire team for this course. I&#39;ve recently begun, and, Inshallah, I plan to see it through to the end &lt;3. I&#39;m setting myself a 40-day challenge, committing to watching one video each day.",2024-01-06T22:13:30Z,1,0,positive
@haseebrandhawa4181,1,How AI is helpful for students?,2024-01-06T12:53:06Z,0,0,positive
@Iqraasif-cw1ft,1,Sir is corse ke foam link shear karin tak mujy b project mil saky or b kam karun,2024-01-06T08:03:24Z,0,0,not
@sajidakhan7498,1,MashaAllah😊 what an explanation of AI <br>Great work,2024-01-05T00:09:41Z,0,0,positive
@asiaisnext,1,"Request to all Pakistanis software engineers that, please please learn AI as soon as possible. It will pay you a lot in near future",2024-01-04T18:31:01Z,0,0,positive
@funnyandfun785,1,Answer zaroor dena,2024-01-04T08:03:10Z,0,0,the
@funnyandfun785,1,Keya koi jo bilkul be na janta ho wo ky iss course sy seek sakta hai,2024-01-04T08:02:36Z,0,0,positive
@JunaidHafeez.Hayatwala,1,"Thanks for appreciating us in the lecture <a href=""https://www.youtube.com/watch?v=3tDE4hDaYgw&amp;t=1h16m37s"">1:16:37</a>",2024-01-02T18:13:32Z,0,0,positive
@JunaidHafeez.Hayatwala,1,"Great way of teaching <a href=""https://www.youtube.com/watch?v=3tDE4hDaYgw&amp;t=1h08m09s"">1:08:09</a>",2024-01-02T18:03:09Z,0,0,positive
@ehsankhateezyar,1,🌎,2024-01-02T14:26:41Z,0,0,the
@mehranbaloch8027,1,Basic problem of ai is ai don&#39;t know many languages,2024-01-02T09:39:33Z,0,0,negative
@IslamicKnowledgeBySR,1,🍃اللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَعَلَى آلِ مُحَمَّدٍ كَمَا صَلَّيْتَ عَلَى إِبْرَاهِيمَ وَعَلَى آلِ إِبْرَاهِيمَ إِنَّكَ حَمِيدٌ مَجِيد ، اللَّهُمَّ بَارِكْ عَلَى مُحَمَّدٍ وَعَلَى آل مُحَمَّدٍ كَمَا بَارَكْتَ عَلَى إِبْرَاهِيمَ وَعَلَى آلِ إِبْرَاهِيمَ إِنَّكَ حَمِيدٌ مَجِيد.,2024-01-02T07:35:45Z,0,0,the
@user-fq9oc8xk8h,1,I think i am following up late but i will follow it till end InshaAllah great effort sir 👍,2024-01-01T20:33:38Z,0,0,positive
@shahzadshahzadali5915,1,yar bhot sa log ya bat karta ha ka ai ko shako muga ya batio ka ai ma asa kia ha ka is ko hum shaka ya bhi to ek search engin ha informativ to phir is ma hsa kia ha kia koi skill hja,2023-12-30T11:57:15Z,0,0,not
