date,Maharashtra, Haryana,Delhi,Gujarat,Karnataka,Telangana,Rajasthan,Punjab,West_bengal,Tamil Nadu, Uttar Pradesh,Madhya Pradesh,Kerala,Assam,Bihar
2017_Aug,74.56,64.98,65.4,67.09,66.39,69.24,67.93,70.32,68.56,67.71,68.63,71.99,69.06,68.03,69.78
2017_Dec,76.52,68.78,69.22,68.06,70.29,73.29,71.83,74.21,71.98,71.74,71.58,73.93,72.99,71.13,73.57
2017_Jul,74.3,62.68,63.09,64.77,64.24,67.02,65.77,67.93,66.14,65.46,66.53,69.62,66.93,65.83,65.93
2017_Jun,78.44,66.7,66.91,68.91,71.59,71.49,69.88,72.51,69.52,69.93,69.86,74.65,71.27,70.52,69.85
2017_May,77.46,67.84,68.09,71.15,73.01,72.68,71.12,73.41,70.68,71.17,70.74,75.87,72.43,71.41,71.16
2017_Nov,76.25,68.7,69.14,68.37,70.21,73.2,71.61,74.13,71.9,71.65,71.51,73.71,72.91,71.04,73.49
2017_Oct,79.87,70.31,70.76,72.58,71.87,74.93,73.41,75.8,73.5,73.36,72.79,77.18,74.62,72.73,75.09
2017_Sep,78.38,68.82,69.26,71.05,70.34,73.34,71.88,74.25,72.02,71.78,71.61,75.63,73.07,71.17,73.61
2018_Apr,81.59,73.86,73.73,73.05,74.9,78.08,76.44,78.91,76.44,76.48,75.12,79.27,77.67,75.8,79.24
2018_Aug,83.76,76.52,76.31,75.68,78.77,80.9,79.26,81.49,79.2,79.26,77.11,81.97,79.47,78.51,82.05
2018_Dec,78.09,71.06,72.53,70.06,73.09,76.89,73.22,77.57,74.55,75.26,72.13,75.57,75.75,72.03,76.49
2018_Feb,80.91,73.18,73.05,72.65,74.2,77.36,76.02,78.16,75.74,75.77,74.59,78.85,76.97,75.09,77.38
2018_Jan,77.87,69.72,69.97,69.38,71.06,74.09,72.74,74.98,72.72,72.53,72.17,74.82,73.77,71.91,74.31
2018_Jul,82.99,75.67,75.55,74.87,76.77,80.03,78.27,80.73,78.23,78.4,76.56,81.14,78.63,77.66,81.04
2018_Jun,86.1,78.39,78.29,77.58,79.57,82.94,81.07,83.55,80.92,81.28,78.71,83.92,81.44,80.51,83.76
2018_Mar,79.45,71.71,71.57,71.18,72.69,75.79,74.51,76.63,74.32,74.21,73.42,77.34,75.43,73.54,76.84
2018_May,82.48,74.75,74.63,73.94,75.82,79.04,77.32,79.83,77.32,77.43,75.83,80.18,78.61,76.73,80.13
2018_Nov,84.86,77.7,79.39,76.63,79.99,84.14,79.97,84.62,81.25,82.46,77.15,82.52,82.65,79.16,83.06
2018_Oct,91.08,83.87,83.73,83.01,84.4,88.77,84.28,89.11,85.53,87.05,83.03,89.51,87.12,86.22,89.87
2018_Sep,86.09,78.86,78.68,78.03,81.24,83.42,81.68,83.92,81.6,81.75,78.97,84.39,81.96,80.97,84.89
2019_Apr,78.43,72.36,72.86,70.39,75.23,77.26,73.56,72.68,74.88,75.62,72.05,75.91,76.13,72.39,76.82
2019_Aug,78.42,72.32,72.8,70.36,75.21,77.31,76.72,72.59,75.44,75.6,72.04,77.95,76.06,72.37,76.37
2019_Dec,80.59,74.04,74.91,72.49,77.5,79.74,78.86,74.82,77.61,77.91,76.11,83.22,78.38,77.18,80.71
2019_Feb,76.57,71.37,70.94,68.58,73.28,75.26,71.7,75.98,73.04,73.64,70.58,74.01,74.21,70.43,75.02
2019_Jan,74.3,69.56,68.65,66.36,69.21,72.82,69.42,73.61,70.78,71.22,68.77,71.67,71.82,68.03,72.81
2019_Jul,76.11,70.48,70.44,68.11,72.79,74.83,71.22,70.35,72.67,73.15,70.2,73.53,73.67,69.94,74.63
2019_Jun,77.28,71.41,71.62,69.25,74.01,76.05,72.39,71.48,73.74,74.39,71.13,74.73,74.88,71.17,75.73
2019_Mar,77.44,71.74,71.81,69.42,74.2,76.2,72.58,71.73,73.9,74.57,71.27,74.9,75.11,71.35,75.86
2019_May,78.7,72.58,73.13,70.65,75.51,77.55,73.83,72.94,75.15,75.9,72.24,76.19,76.42,72.67,77.08
2019_Nov,78.51,72.39,72.86,70.47,75.32,77.51,76.71,72.8,75.55,75.69,74.46,80.99,76.22,74.99,78.75
2019_Oct,80.21,73.74,74.61,72.12,77.1,79.25,78.47,74.45,77.23,77.5,75.81,82.81,77.99,76.78,78.11
2019_Sep,77.46,71.55,71.77,69.44,74.22,76.3,75.75,71.66,74.5,74.57,73.63,76.96,75.14,73.88,75.44
2020_Apr,75.3,69.84,69.59,67.33,73.55,73.97,75.59,69.68,73.3,72.28,71.92,77.58,72.99,71.61,74.25
2020_Aug,87.19,78.18,80.43,78.08,83.04,83.49,87.57,81.63,82.1,83.63,80.98,88.08,82.15,84.5,83.31
2020_Dec,89.02,79.99,82.34,79.96,85.09,85.64,89.63,83.48,83.87,85.31,82.54,90.09,84.34,85.95,84.93
2020_Feb,78.83,72.64,73.19,70.78,75.66,77.85,77.04,73.11,75.85,76.03,74.72,81.34,76.56,75.33,77.87
2020_Jan,80.79,74.2,75.14,72.69,77.71,79.96,79.07,75.02,77.79,78.12,76.28,83.43,78.59,77.39,79.83
2020_Jul,87.19,78.16,80.43,78.08,83.04,83.49,87.57,81.63,82.1,83.63,80.86,88.08,82.15,84.5,83.31
2020_Jun,78.32,70.85,71.26,67.33,73.55,73.97,77.82,71.71,73.3,75.54,73.82,77.58,72.99,77.46,76.27
2020_Mar,77.18,71.33,71.49,69.16,73.94,75.99,75.3,71.51,74.16,74.28,73.42,79.59,74.94,73.59,76.13
2020_May,76.31,69.84,69.59,67.33,73.55,73.97,76.7,69.68,73.3,72.28,71.92,77.58,72.99,77.46,74.25
2020_Nov,87.74,78.77,81.06,78.66,83.69,84.25,88.21,82.19,82.59,84.14,81.34,88.7,82.89,84.93,83.73
2020_Oct,87.74,78.74,81.06,78.66,83.69,84.25,88.21,82.19,82.59,84.14,81.34,88.7,82.89,84.93,83.73
2020_Sep,88.73,79.73,82.08,79.64,84.75,85.3,89.29,83.18,83.57,85.04,82.26,89.75,83.91,85.72,84.64
2021_Apr,96.98,88.02,90.56,87.9,93.59,94.16,97.08,91.54,90.77,92.58,88.68,98.58,92.44,87.23,92.89
2021_Aug,107.83,98.92,101.84,98.79,105.25,105.83,108.71,102.85,102.08,102.49,98.92,110.2,103.82,97.64,104.25
2021_Dec,109.98,95.27,95.41,95.35,100.58,108.2,107.06,94.94,104.67,101.4,95.28,107.23,106.36,94.58,105.9
2021_Feb,92.86,83.89,86.3,83.81,89.21,89.77,93.86,87.37,87.69,88.82,85.41,94.2,88.33,89.0,88.78
2021_Jan,90.34,81.35,83.71,81.29,86.51,87.06,91.09,84.82,85.19,86.51,83.41,91.5,85.72,87.0,86.25
2021_Jul,104.9,95.97,98.81,95.86,102.11,102.69,105.54,99.88,98.64,99.8,95.74,107.07,100.79,94.56,100.81
2021_Jun,100.72,91.78,94.49,91.68,97.64,98.2,101.02,95.65,94.5,95.99,91.65,102.61,96.47,90.2,96.64
2021_Mar,97.57,88.61,91.17,88.49,94.22,94.79,97.72,92.14,91.35,93.11,89.15,99.21,93.05,87.69,93.48
2021_May,96.83,87.86,90.4,87.75,93.43,93.99,96.77,91.71,90.62,92.43,88.56,98.41,92.28,87.1,92.74
2021_Nov,115.5,106.62,109.69,106.53,113.56,114.12,117.08,110.61,110.15,106.35,106.61,118.46,112.07,105.74,113.45
2021_Oct,107.95,99.04,101.89,98.95,105.44,106.0,108.88,102.97,102.47,99.58,98.99,110.37,104.13,97.77,104.64
2021_Sep,107.39,98.48,101.34,98.39,104.84,105.4,108.27,102.4,101.72,99.08,98.43,109.77,103.56,97.18,103.89
2022_Apr,116.72,102.51,101.81,101.7,107.3,115.42,114.07,101.09,111.35,107.45,101.66,114.21,113.27,101.67,112.51
2022_Aug,106.31,97.43,96.72,96.63,101.94,109.66,108.48,96.18,106.03,102.63,96.57,108.65,107.71,96.01,107.24
2022_Dec,106.31,97.43,96.72,96.63,101.94,109.66,108.48,96.18,106.03,102.63,96.57,108.65,107.71,96.01,107.24
2022_Feb,109.98,95.27,95.41,95.35,100.58,108.2,107.06,94.94,104.67,101.4,95.28,107.23,106.36,94.58,105.9
2022_Jan,109.98,95.27,95.41,95.35,100.58,108.2,107.06,94.94,104.67,101.4,95.28,107.23,106.36,94.58,105.9
2022_Jul,111.35,97.43,96.72,96.63,101.94,109.66,108.48,96.18,106.03,102.63,96.57,108.65,107.71,96.01,107.24
2022_Jun,97.28,90.27,89.62,92.38,87.89,97.82,93.72,86.55,92.76,94.24,89.76,93.9,96.52,83.94,94.04
2022_Mar,109.98,95.27,95.41,95.35,100.58,108.2,107.06,94.94,104.67,101.4,95.28,107.23,106.36,94.58,105.9
2022_May,120.51,106.15,105.41,105.29,111.09,119.49,118.03,104.56,115.12,110.85,105.25,118.14,117.19,105.66,116.23
2022_Oct,106.31,97.43,96.72,96.63,101.94,109.66,108.48,96.18,106.03,102.63,96.57,108.65,107.71,96.01,107.24
2022_Sep,106.31,97.43,96.72,96.63,101.94,109.66,108.48,96.18,106.03,102.63,96.57,108.65,107.71,96.01,107.24
