Year,State,CoC Number,CoC Name,Measures,Count
1/1/2007,AK,AK-500,Anchorage CoC,Chronically Homeless Individuals,224
1/1/2007,AK,AK-500,Anchorage CoC,Homeless Individuals,696
1/1/2007,AK,AK-500,Anchorage CoC,Homeless People in Families,278
1/1/2007,AK,AK-500,Anchorage CoC,Sheltered Chronically Homeless Individuals,187
1/1/2007,AK,AK-500,Anchorage CoC,Sheltered Homeless,842
1/1/2007,AK,AK-500,Anchorage CoC,Sheltered Homeless Individuals,589
1/1/2007,AK,AK-500,Anchorage CoC,Sheltered Homeless People in Families,253
1/1/2007,AK,AK-500,Anchorage CoC,Total Homeless,974
1/1/2007,AK,AK-500,Anchorage CoC,Unsheltered Chronically Homeless Individuals,37
1/1/2007,AK,AK-500,Anchorage CoC,Unsheltered Homeless,132
1/1/2007,AK,AK-500,Anchorage CoC,Unsheltered Homeless Individuals,107
1/1/2007,AK,AK-500,Anchorage CoC,Unsheltered Homeless People in Families,25
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Chronically Homeless Individuals,54
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Homeless Individuals,366
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Homeless People in Families,302
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Sheltered Chronically Homeless Individuals,34
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Sheltered Homeless,545
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Sheltered Homeless Individuals,302
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Sheltered Homeless People in Families,243
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Total Homeless,668
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Unsheltered Chronically Homeless Individuals,20
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Unsheltered Homeless,123
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Unsheltered Homeless Individuals,64
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Unsheltered Homeless People in Families,59
1/1/2007,AL,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Chronically Homeless Individuals,516
