Date,Price,Open,High,Low,Vol.,Change %
01/02/2024,278.981,278.981,278.981,278.981,,0.00%
01/01/2024,278.981,278.729,279.132,278.729,,0.09%
12/31/2023,278.729,278.729,278.729,278.729,,0.18%
12/29/2023,278.218,282.0,282.0,278.218,,-1.38%
12/28/2023,282.1,281.5,282.75,277.98,,0.10%
12/27/2023,281.82,282.75,282.965,278.45,,-0.06%
12/26/2023,282.0,283.85,283.85,278.48,,0.90%
12/25/2023,279.493,279.305,279.59,279.305,,-1.04%
12/22/2023,282.42,282.4,286.25,278.75,,-0.10%
12/21/2023,282.7,283.05,284.0,279.0,,-0.01%
12/20/2023,282.72,282.75,283.975,282.5,,0.00%
12/19/2023,282.72,283.05,284.05,279.25,,-0.02%
12/18/2023,282.77,284.25,284.25,279.5,,-0.08%
12/15/2023,283.0,283.0,284.25,279.5,,0.01%
12/14/2023,282.97,284.15,284.375,279.75,,-0.09%
12/13/2023,283.22,284.25,284.265,283.42,,-0.10%
12/12/2023,283.5,284.25,284.25,283.65,,0.00%
12/11/2023,283.5,284.25,284.5,280.25,,-0.04%
12/08/2023,283.62,284.25,284.25,283.75,,-0.07%
12/07/2023,283.83,284.3,284.5,280.25,,-0.02%
12/06/2023,283.9,284.5,284.725,284.0,,-0.12%
12/05/2023,284.25,285.225,285.225,284.25,,-0.18%
12/04/2023,284.75,285.0,285.365,281.0,,-0.07%
12/01/2023,284.96,285.75,285.75,281.25,,-0.10%
11/30/2023,285.25,286.0,286.0,285.0,,0.00%
11/29/2023,285.25,285.625,286.0,285.25,,0.09%
11/28/2023,285.0,285.75,285.75,285.25,,0.00%
11/27/2023,285.0,285.25,286.0,282.0,,0.00%
11/24/2023,285.0,285.0,287.35,280.4,,1.79%
11/23/2023,280.0,285.25,285.5,282.0,,-1.67%
11/22/2023,284.75,285.85,285.85,281.75,,-1.04%
11/21/2023,287.75,286.25,288.35,285.36,,0.00%
11/20/2023,287.75,288.09,288.38,282.5,,0.10%
11/17/2023,287.46,287.25,288.38,282.75,,-0.10%
11/16/2023,287.75,288.5,288.6,282.88,,0.01%
11/15/2023,287.71,288.25,288.63,287.5,,0.25%
11/14/2023,287.0,288.125,288.25,284.63,,0.00%
11/13/2023,287.0,283.2,288.25,283.2,,-0.11%
11/10/2023,287.31,287.25,288.1,283.0,,1.97%
11/09/2023,281.75,287.0,287.0,283.75,,-1.66%
11/08/2023,286.5,287.0,287.3,283.54,,0.10%
11/07/2023,286.21,285.375,287.0,281.8,,0.60%
11/06/2023,284.5,284.0,285.375,281.5,,0.18%
11/03/2023,284.0,283.0,284.5,280.25,,0.44%
11/02/2023,282.75,282.25,283.75,279.15,,0.71%
11/01/2023,280.75,282.375,283.25,277.325,,-0.30%
10/31/2023,281.59,282.125,282.375,277.0,,0.30%
10/30/2023,280.75,277.65,282.25,274.15,,0.38%
10/27/2023,279.7,281.0,281.0,277.0,,-0.01%
10/26/2023,279.72,280.125,280.465,279.975,,0.01%
10/25/2023,279.7,279.75,280.5,276.5,,0.25%
10/24/2023,279.0,279.375,280.0,276.0,,0.34%
10/23/2023,278.05,275.3,279.3,275.3,,0.10%
10/20/2023,277.77,278.55,279.125,275.0,,-0.15%
10/19/2023,278.2,278.5,279.9,275.0,,-0.32%
10/18/2023,279.08,276.475,279.915,275.25,,1.05%
10/17/2023,276.17,275.35,277.125,272.05,,-0.10%
10/16/2023,276.45,273.95,278.6,271.88,,-0.27%
10/13/2023,277.2,278.45,278.5,273.85,,-0.65%
10/12/2023,279.0,279.625,279.7,278.25,,0.00%
10/11/2023,279.0,279.35,283.85,275.85,,-1.57%
10/10/2023,283.45,281.75,283.865,276.75,,0.69%
10/09/2023,281.5,278.98,282.675,278.0,,-0.59%
10/06/2023,283.17,284.0,284.015,278.93,,-0.10%
10/05/2023,283.45,284.875,284.95,279.85,,-0.28%
10/04/2023,284.25,284.5,286.0,281.0,,-0.44%
10/03/2023,285.5,287.0,288.75,282.0,,-0.97%
10/02/2023,288.3,287.775,288.75,283.18,,0.00%
09/29/2023,288.3,288.75,288.75,288.75,,0.00%
09/28/2023,288.3,288.75,289.5,284.0,,1.74%
09/27/2023,283.38,289.8,289.8,284.75,,-0.35%
09/26/2023,284.38,290.7,290.7,286.0,,-2.02%
09/25/2023,290.25,292.6,293.375,287.0,,1.40%
09/22/2023,286.25,293.125,293.125,287.88,,-2.14%
09/21/2023,292.5,294.15,294.62,288.95,,-0.34%
09/20/2023,293.5,294.75,296.915,290.0,,-0.34%
09/19/2023,294.5,296.375,296.375,290.75,,-0.41%
09/18/2023,295.7,296.0,297.25,292.25,,-0.24%
09/15/2023,296.4,298.375,298.375,293.25,,-0.44%
09/14/2023,297.7,295.25,299.675,294.25,,1.52%
09/13/2023,293.25,299.05,299.875,295.25,,-2.01%
09/12/2023,299.25,301.125,301.125,296.0,,-0.42%
09/11/2023,300.5,302.75,302.75,297.25,,-2.02%
09/08/2023,306.69,306.44,307.515,300.75,,0.59%
09/07/2023,304.88,307.5,307.565,301.38,,-0.69%
09/06/2023,307.0,307.875,307.875,306.75,,-0.24%
09/05/2023,307.75,306.44,307.89,302.88,,0.61%
09/04/2023,305.88,302.13,306.5,302.0,,0.12%
09/01/2023,305.5,306.5,306.515,305.25,,-0.16%
08/31/2023,306.0,304.5,306.5,302.0,,0.77%
08/30/2023,303.65,304.25,304.7,300.0,,0.05%
08/29/2023,303.5,303.665,304.39,299.0,,0.39%
08/28/2023,302.33,303.1,303.765,298.13,,0.38%
08/25/2023,301.2,303.0,303.1,296.85,,0.07%
08/24/2023,301.0,299.5,303.0,296.5,,0.52%
08/23/2023,299.45,299.5,299.89,296.0,,0.15%
08/22/2023,299.0,297.815,299.64,294.13,,0.46%
08/21/2023,297.63,297.125,298.25,292.4,,0.47%
08/18/2023,296.25,296.5,297.14,290.925,,0.42%
08/17/2023,295.0,296.25,296.515,290.49,,0.17%
