Unnamed: 0,drug_name,condition,nltkRScore,useful_count_encoded
0,3421,500,2,2
1,1536,80,3,2
2,1983,175,3,1
3,2446,175,3,1
4,553,613,3,2
5,715,170,1,2
6,1874,314,2,1
7,284,174,1,2
8,1779,324,1,1
9,1263,175,3,1
10,3272,542,3,1
11,1805,273,3,2
12,2554,251,1,1
13,988,249,3,1
14,2302,175,3,1
15,1915,601,3,1
16,3332,867,1,1
17,214,346,1,2
18,1826,174,2,1
19,2317,223,1,1
20,333,387,3,1
21,3297,474,3,2
22,1272,175,1,1
23,1256,746,3,1
24,3250,874,1,1
25,384,216,1,1
26,1145,423,1,2
27,922,80,1,1
28,327,637,3,2
29,1658,541,1,1
30,3000,273,3,1
31,3274,633,1,1
32,3250,874,1,1
33,3464,484,3,1
34,2170,622,1,2
35,1104,241,1,1
36,2187,633,1,1
37,2194,183,1,1
38,3327,723,3,2
39,1393,874,1,1
40,828,601,3,1
41,773,637,1,2
42,2084,555,3,2
43,3451,273,1,1
44,1848,406,2,1
45,1848,406,3,2
46,3138,174,1,1
47,3168,630,1,1
48,1083,867,1,2
49,1103,283,3,2
50,1714,80,2,1
51,552,633,1,2
52,2792,143,1,1
53,2428,596,1,1
54,284,759,3,2
55,2769,308,3,1
56,1844,174,3,2
57,555,789,3,1
58,1668,175,3,1
59,1142,133,1,1
60,1096,175,3,1
61,552,633,1,2
62,1668,175,2,1
63,2381,175,1,1
64,2681,183,3,1
65,3305,87,1,1
66,1142,273,3,2
67,1487,175,3,1
68,1266,87,3,1
69,1149,406,3,1
70,771,343,3,2
71,1060,242,3,1
72,213,244,3,2
73,1272,175,3,1
74,2302,175,3,1
75,3005,325,1,1
76,1924,175,3,1
77,1848,406,1,2
78,3000,637,3,2
79,2473,849,1,1
80,3531,273,1,1
81,2381,175,1,1
82,1874,175,3,1
83,2595,241,3,2
84,2272,860,2,1
85,1918,174,3,2
86,2481,225,3,2
87,715,170,3,2
88,1246,151,3,2
89,3079,175,1,1
90,346,783,3,2
91,2179,874,1,1
92,2618,314,1,2
93,180,839,1,2
94,1406,522,1,1
95,284,273,1,2
96,2381,175,3,1
97,3074,87,3,2
98,1415,134,1,2
99,1996,867,1,1
