Number,num,Title,smiles,ho,lu,fermi,gap,molecular_weight,nonh_atoms,logp,saturation,aromatic,double_or_triple_bond,small_rings,only_CH,heteroatoms,has_O,O_single,O_single_aromatic_carbon,O_double,carbonyl,acrolein,has_N,amine,N_single_aromatic_carbon,aromatic_n,cyano,nitro,nitroso,has_N=O,acrylonitrile
170-01,1,Benzene,C1=CC=CC=C1,-7.044,-0.422,-3.733,6.622,78.05,6,1.69,False,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-02,2,Naph,C1=CC2=C(C=C1)C=CC=C2,-6.11,-1.368,-3.739,4.742,128.06,10,2.84,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-03,3,N4,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,-5.163,-2.431,-3.797,2.732,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-04,4,N8,C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=C8C=CC=CC8=CC7=CC6=CC5=CC4=CC3=CC2=C1,-4.297,-3.431,-3.864,0.8659999999999997,428.16,34,9.76,False,True,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-05,5,N16,C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=C8C=C9C=C%10C=C%11C=C%12C=C%13C=C%14C=C%15C=C%16C=CC=CC%16=CC%15=CC%14=CC%13=CC%12=CC%11=CC%10=CC9=CC8=CC7=CC6=CC5=CC4=CC3=CC2=C1,-4.246,-3.561,-3.9035,0.6850000000000005,828.28,66,18.98,False,True,33,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-09,6,B8,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.687,-1.809,-3.748,3.878,610.27,48,13.36,False,True,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-10,7,B16,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=C(C9=CC=C(C%10=CC=C(C%11=CC=C(C%12=CC=C(C%13=CC=C(C%14=CC=C(C%15=CC=C(C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.614,-1.897,-3.7555,3.717,1218.52,96,26.69,False,True,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-12,8,ABN4,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1,-5.83,-1.624,-3.727,4.206,228.09,18,5.15,False,True,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-13,9,ABN8,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1,-5.687,-1.778,-3.7325,3.909,428.16,34,9.76,False,True,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-14,10,ABN16,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1,-5.641,-1.929,-3.785,3.712,828.28,66,18.98,False,True,33,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-15,11,B4T,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=CC=C4)C=C3)C=C2)C=C1,-5.915,-1.6,-3.7575,4.315,306.14,24,6.69,False,True,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-16,12,B8T,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=CC=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.721,-1.838,-3.7795,3.883,610.27,48,13.36,False,True,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170-17,13,B16T,C1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=C(C9=CC=C(C%10=CC=C(C%11=CC=C(C%12=CC=C(C%13=CC=C(C%14=CC=C(C%15=CC=C(C%16=CC=CC=C%16)C=C%15)C=C%14)C=C%13)C=C%12)C=C%11)C=C%10)C=C9)C=C8)C=C7)C=C6)C=C5)C=C4)C=C3)C=C2)C=C1,-5.656,-1.927,-3.7915,3.729,1218.52,96,26.69,False,True,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174-01,14,C2H4,C=C,-7.636,-0.174,-3.905,7.462,28.03,2,0.8,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
