Invoice ID,Branch,City,Customer type,Gender,Product line, Unit price ,Quantity, cogs ,Tax 5%, Total ,Date,Time,Payment,gross margin percentage,gross income,Rating,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
651-88-7328,Central Area,Abuja,Normal,Female,Fashion accessories, ?65.74 ,9.0, ?591.66 ,29.583, ?621.24 ,1/1/2019,13:55,Cash,4.761904762,29.583,7.7,,,,,,,,
416-17-9926,Central Area,Abuja,Member,Female,Electronic accessories, ?74.22 ,10.0, ?742.20 ,37.11, ?779.31 ,1/1/2019,14:42,Credit card,4.761904762,37.11,4.3,,,,,,,,
746-04-1077,Bodija,Ibadan,Member,Female,Food and beverages, ?84.63 ,10.0, ?846.30 ,42.315, ?888.62 ,1/1/2019,11:36,Credit card,4.761904762,42.315,9.0,,,,,,,,
552-44-5977,Bodija,Ibadan,Member,Male,Health and beauty, ?62.00 ,8.0, ?496.00 ,24.8, ?520.80 ,1/3/2019,19:08,Credit card,4.761904762,24.8,6.2,,count,,,,,,
672-51-8681,Lekki,Lagos,Member,Female,Electronic accessories, ?66.65 ,9.0, ?599.85 ,29.9925, ?629.84 ,1/4/2019,18:19,Credit card,4.761904762,29.9925,9.7,,Female,121,,Electronic accessories,,,26953.6575
750-67-8428,Central Area,Abuja,Member,Female,Health and beauty, ?74.69 ,7.0, ?522.83 ,26.1415, ?548.97 ,1/5/2019,13:08,Ewallet,4.761904762,26.1415,9.1,,Male,106,,Food and beverages,,,26723.1405
433-08-7822,Lekki,Lagos,Normal,Female,Health and beauty, ?78.89 ,7.0, ?552.23 ,27.6115, ?579.84 ,1/5/2019,19:48,Ewallet,4.761904762,27.6115,7.5,,Total,227,,Health and beauty,,,25403.868
489-82-1237,Central Area,Abuja,Normal,Female,Electronic accessories, ?93.88 ,7.0, ?657.16 ,32.858, ?690.02 ,1/5/2019,11:51,Credit card,4.761904762,32.858,7.3,,,,,Fashion accessories,,,25187.379
393-65-2792,Lekki,Lagos,Normal,Male,Food and beverages, ?89.48 ,10.0, ?894.80 ,44.74, ?939.54 ,1/6/2019,12:46,Credit card,4.761904762,44.74,9.6,,Gender,,,Sports and travel,,,27872.922
729-06-2010,Bodija,Ibadan,Member,Male,Health and beauty, ?80.47 ,9.0, ?724.23 ,36.2115, ?760.44 ,1/6/2019,11:18,Cash,4.761904762,36.2115,9.2,,member ,119,,Home and lifestyle,,,27413.6625
109-28-2512,Bodija,Ibadan,Member,Female,Fashion accessories, ?97.61 ,6.0, ?585.66 ,29.283, ?614.94 ,1/7/2019,15:01,Ewallet,4.761904762,29.283,9.9,,normal,108,,,,,
541-48-8554,Central Area,Abuja,Normal,Male,Sports and travel, ?60.95 ,9.0, ?548.55 ,27.4275, ?575.98 ,1/7/2019,12:08,Credit card,4.761904762,27.4275,6.0,,Total,227,,max,27872.922,,
663-86-9076,Lekki,Lagos,Member,Female,Food and beverages, ?68.54 ,8.0, ?548.32 ,27.416, ?575.74 ,1/8/2019,15:57,Ewallet,4.761904762,27.416,8.5,,,,,min,25187.379,,
571-94-0759,Bodija,Ibadan,Member,Female,Food and beverages, ?74.60 ,10.0, ?746.00 ,37.3, ?783.30 ,1/8/2019,20:55,Cash,4.761904762,37.3,9.5,,,,,,,,
457-13-1708,Bodija,Ibadan,Member,Male,Fashion accessories, ?65.23 ,10.0, ?652.30 ,32.615, ?684.92 ,1/8/2019,19:07,Credit card,4.761904762,32.615,5.2,,sales,,,,,,
845-94-6841,Lekki,Lagos,Member,Female,Food and beverages, ?72.88 ,9.0, ?655.92 ,32.796, ?688.72 ,1/8/2019,19:38,Cash,4.761904762,32.796,4.0,,Total," ?319,109.26 ",,,,,
554-42-2417,Lekki,Lagos,Normal,Female,Sports and travel, ?95.44 ,10.0, ?954.40 ,47.72," ?1,002.12 ",1/9/2019,13:45,Cash,4.761904762,47.72,5.2,,average," ?1,399.60 ",,,,,
189-40-5216,Lekki,Lagos,Normal,Male,Electronic accessories, ?96.37 ,7.0, ?674.59 ,33.7295, ?708.32 ,1/9/2019,11:40,Cash,4.761904762,33.7295,6.0,,,,,,,,
640-49-2076,Bodija,Ibadan,Normal,Male,Sports and travel, ?83.78 ,8.0, ?670.24 ,33.512, ?703.75 ,1/10/2019,14:49,Cash,4.761904762,33.512,5.1,,,,,,,,
241-11-2261,Bodija,Ibadan,Normal,Female,Fashion accessories, ?79.86 ,7.0, ?559.02 ,27.951, ?586.97 ,1/10/2019,10:33,Credit card,4.761904762,27.951,5.5,,customer type,,,,,,
887-42-0517,Lekki,Lagos,Normal,Female,Sports and travel, ?83.14 ,7.0, ?581.98 ,29.099, ?611.08 ,1/10/2019,10:31,Credit card,4.761904762,29.099,6.6,,cash,78,,,,,
406-46-7107,Central Area,Abuja,Normal,Female,Home and lifestyle, ?96.52 ,6.0, ?579.12 ,28.956, ?608.08 ,1/11/2019,11:52,Cash,4.761904762,28.956,4.5,,credit card,74,,,,,
704-48-3927,Central Area,Abuja,Member,Male,Electronic accessories, ?88.67 ,10.0, ?886.70 ,44.335, ?931.04 ,1/12/2019,14:50,Ewallet,4.761904762,44.335,7.3,,ewallet,75,,,,,
852-62-7105,Bodija,Ibadan,Normal,Female,Fashion accessories, ?83.25 ,10.0, ?832.50 ,41.625, ?874.13 ,1/12/2019,11:25,Credit card,4.761904762,41.625,4.4,,,,,,,,
751-41-9720,Lekki,Lagos,Normal,Male,Home and lifestyle, ?97.50 ,10.0, ?975.00 ,48.75," ?1,023.75 ",1/12/2019,16:18,Ewallet,4.761904762,48.75,8.0,,rating,,,,,,
197-77-7132,Bodija,Ibadan,Member,Male,Electronic accessories, ?91.56 ,8.0, ?732.48 ,36.624, ?769.10 ,1/12/2019,18:22,Ewallet,4.761904762,36.624,6.0,,68.60352423,,,,,,
785-13-7708,Bodija,Ibadan,Normal,Male,Food and beverages, ?73.06 ,7.0, ?511.42 ,25.571, ?536.99 ,1/14/2019,19:06,Credit card,4.761904762,25.571,4.2,,,,,,,,
667-23-5919,Central Area,Abuja,Member,Female,Fashion accessories, ?96.70 ,5.0, ?483.50 ,24.175, ?507.68 ,1/14/2019,12:52,Ewallet,4.761904762,24.175,7.0,,Gross income,,,,,,
868-52-7573,Bodija,Ibadan,Normal,Female,Food and beverages, ?99.69 ,5.0, ?498.45 ,24.9225, ?523.37 ,1/14/2019,12:09,Cash,4.761904762,24.9225,9.9,,7597.8395,,,,,,
