Facility ID,Restaurant Name,Address,Zip Code,Latitude,Longitude,Inspection Date,Process Description,Score
10065891,Starbucks Coffee #13418,1201 BARBARA JORDAN BLVD,78723,30.306354021,-97.709006964,2022-10-18,Routine Inspection,92
12018392,Residence Inn Austin Airport,3201 CASEYBRIDGE CT,78744,30.213553989,-97.698909034,2022-10-26,Routine Inspection,89
11410847,Raku Sushi Restaurant,2222 RIO GRANDE ST,78705,30.286559989,-97.745506967,2023-01-17,Routine Inspection,71
11747511,Bao'd Up,1911 ALDRICH ST,78723,30.298674018,-97.704329024,2023-01-19,Routine Inspection,94
11048159,Casa Linda Taqueria,623 W DITTMAR RD,78745,30.183337983,-97.792032984,2022-03-29,Routine Inspection,100
12392879,PF - Pflugerville Health Care Center,521 S HEATHERWILDE BLVD,78660,30.443056994,-97.642386005,2022-06-17,Routine Inspection,83
12394730,Domino's Pizza,11150 RESEARCH BLVD,78759,30.406755014,-97.74702602,2022-04-27,Routine Inspection,94
2800349,Delta Delta Delta,503 W 27TH ST,78705,30.291635986,-97.742212963,2023-12-06,Routine Inspection,97
12392368,PF - Taco Bell # 30073,1605 W PECAN ST,78660,30.447003991,-97.638373001,2023-10-30,Routine Inspection,93
12185630,Lifetime Nutrition,7517 CAMERON RD,78752,30.329366997,-97.688871034,2023-07-21,Routine Inspection,91
11204859,Dawson Child Inc Child Development Center,3001 S 1ST ST,78704,30.234104991,-97.763629983,2023-08-29,Routine Inspection,100
10193027,Cover 3,2700 W ANDERSON LN,78757,30.359327984,-97.734142029,2021-12-09,Routine Inspection,87
10252628,Jamba Juice,1201 BARBARA JORDAN BLVD,78723,30.306354021,-97.709006964,2022-05-06,Routine Inspection,91
11423173,Popeyes # 305 - Z & H Inc,2919 MONTOPOLIS DR,78741,30.213898989,-97.710661971,2023-08-03,Routine Inspection,96
11130484,Courtesy Shell # 3,616 W WILLIAM CANNON DR,78745,30.197308017,-97.787284971,2021-07-08,Routine Inspection,96
12395220,"Salty Donut, The",2000 S CONGRESS AVE,78704,30.24418599,-97.752139986,2022-11-28,Routine Inspection,88
12395439,Meal Makers,1300 E ANDERSON LN,78752,30.336081991,-97.687923041,2022-05-18,Routine Inspection,97
2801171,Pok-E-Jo's,2121 W PARMER LN,78758,30.415556012,-97.697276994,2023-01-10,Routine Inspection,91
11066752,Taco Bell #30081,7515 N FM 620 RD,78726,30.408100016,-97.850872016,2021-08-12,Routine Inspection,90
2800627,Kathy Caraway Elementary School,11104 OAK VIEW DR,78759,30.419538003,-97.769297994,2021-10-12,Routine Inspection,100
10377371,Jack Allen's Kitchen,7720 W SH,78735,30.246547,-97.8304137,2022-09-12,Routine Inspection,87
11469676,St. Mark United Methodist Church Food Pantry,601 W BRAKER LN,78753,30.379891014,-97.685541994,2022-12-28,Routine Inspection,95
12186439,Dolce Neve,1109 E 5TH ST,78702,30.263500996,-97.731369966,2022-03-29,Routine Inspection,97
12392473,PF - T- Jin China Diner,18816 LIMESTONE COMMERCIAL DR,78660,30.469184979,-97.596230971,2023-08-23,Routine Inspection,71
10884063,Infamous Brewing Co.,4602 WELETKA DR,78734,30.406823997,-97.925960961,2021-03-18,Routine Inspection,98
11242428,La Catedral Del Marisco #3,4118 S IH,78745,30.2026,-97.81261,2023-03-13,Routine Inspection,90
