id,puzzle_type,solution_state,initial_state,num_wildcards,vec_solution_state,vec_initial_state
0,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;D;A;E;B;A;B;C;A;C;A;D;C;D;F;F;F;E;E;B;F;B;C,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[3, 4, 3, 0, 4, 1, 0, 1, 2, 0, 2, 0, 3, 2, 3, 5, 5, 5, 4, 4, 1, 5, 1, 2]"
1,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;C;B;B;E;F;A;F;D;B;F;F;E;B;D;A;A;C;D;C;E;A;C,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[3, 4, 2, 1, 1, 4, 5, 0, 5, 3, 1, 5, 5, 4, 1, 3, 0, 0, 2, 3, 2, 4, 0, 2]"
2,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;F;C;C;F;A;D;D;B;B;A;F;E;B;C;A;A;B;D;F;E;E;C;D,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[4, 5, 2, 2, 5, 0, 3, 3, 1, 1, 0, 5, 4, 1, 2, 0, 0, 1, 3, 5, 4, 4, 2, 3]"
3,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;C;E;C;F;D;E;D;A;A;F;A;B;D;B;F;E;D;B;F;B;C;C;E,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[0, 2, 4, 2, 5, 3, 4, 3, 0, 0, 5, 0, 1, 3, 1, 5, 4, 3, 1, 5, 1, 2, 2, 4]"
4,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;D;E;D;A;E;F;B;A;C;F;D;F;D;C;A;F;B;C;C;B;E;B;A,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[4, 3, 4, 3, 0, 4, 5, 1, 0, 2, 5, 3, 5, 3, 2, 0, 5, 1, 2, 2, 1, 4, 1, 0]"
5,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;F;E;E;A;A;C;F;D;B;C;F;E;C;B;D;D;B;E;A;B;D;F;C,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[0, 5, 4, 4, 0, 0, 2, 5, 3, 1, 2, 5, 4, 2, 1, 3, 3, 1, 4, 0, 1, 3, 5, 2]"
6,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,F;C;B;E;E;A;F;F;D;A;C;D;B;E;C;E;D;A;B;C;B;D;F;A,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[5, 2, 1, 4, 4, 0, 5, 5, 3, 0, 2, 3, 1, 4, 2, 4, 3, 0, 1, 2, 1, 3, 5, 0]"
7,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;A;D;B;F;A;D;F;E;D;B;D;E;F;E;B;B;C;A;A;C;C;C;F,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[4, 0, 3, 1, 5, 0, 3, 5, 4, 3, 1, 3, 4, 5, 4, 1, 1, 2, 0, 0, 2, 2, 2, 5]"
8,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;A;E;B;F;C;F;E;A;D;A;F;E;A;B;C;C;D;D;B;E;B;F;C,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[3, 0, 4, 1, 5, 2, 5, 4, 0, 3, 0, 5, 4, 0, 1, 2, 2, 3, 3, 1, 4, 1, 5, 2]"
9,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;C;C;F;A;F;F;B;B;C;F;A;A;E;D;C;B;A;E;D;D;E;B,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[3, 4, 2, 2, 5, 0, 5, 5, 1, 1, 2, 5, 0, 0, 4, 3, 2, 1, 0, 4, 3, 3, 4, 1]"
10,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,C;D;A;C;E;F;A;B;D;F;F;B;E;B;E;D;F;D;C;B;C;E;A;A,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[2, 3, 0, 2, 4, 5, 0, 1, 3, 5, 5, 1, 4, 1, 4, 3, 5, 3, 2, 1, 2, 4, 0, 0]"
11,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;D;C;F;B;E;C;E;D;A;D;F;C;F;B;A;B;A;B;F;D;A;E;C,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[4, 3, 2, 5, 1, 4, 2, 4, 3, 0, 3, 5, 2, 5, 1, 0, 1, 0, 1, 5, 3, 0, 4, 2]"
12,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;D;C;F;B;E;D;E;D;E;A;C;A;C;F;B;D;A;F;C;F;B;E;B,0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[0, 3, 2, 5, 1, 4, 3, 4, 3, 4, 0, 2, 0, 2, 5, 1, 3, 0, 5, 2, 5, 1, 4, 1]"
