id,puzzle_type,solution_state,initial_state,num_wildcards,vec_solution_state,vec_initial_state
358,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,C;F;B;F;H;H;E;D;H;E;G;A;G;C;E;D;C;B;B;A;F;D;F;H;A;A;B;C;D;G;G;E,2,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[1, 6, 4, 6, 7, 7, 2, 5, 7, 2, 3, 0, 3, 1, 2, 5, 1, 4, 4, 0, 6, 5, 6, 7, 0, 0, 4, 1, 5, 3, 3, 2]"
359,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,D;B;G;B;F;E;D;C;F;B;F;E;B;G;H;A;H;A;D;C;E;C;D;G;F;E;A;H;G;H;A;C,4,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[5, 4, 3, 4, 6, 2, 5, 1, 6, 4, 6, 2, 4, 3, 7, 0, 7, 0, 5, 1, 2, 1, 5, 3, 6, 2, 0, 7, 3, 7, 0, 1]"
360,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,E;E;F;A;D;G;F;H;C;F;A;C;G;B;H;H;G;D;B;A;F;D;E;E;B;G;B;H;C;D;A;C,2,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[2, 2, 6, 0, 5, 3, 6, 7, 1, 6, 0, 1, 3, 4, 7, 7, 3, 5, 4, 0, 6, 5, 2, 2, 4, 3, 4, 7, 1, 5, 0, 1]"
361,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,C;E;G;H;E;F;F;H;G;E;F;E;B;H;A;C;H;B;C;A;G;F;D;D;A;B;D;D;C;B;A;G,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[1, 2, 3, 7, 2, 6, 6, 7, 3, 2, 6, 2, 4, 7, 0, 1, 7, 4, 1, 0, 3, 6, 5, 5, 0, 4, 5, 5, 1, 4, 0, 3]"
362,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,F;H;D;C;D;E;E;A;A;E;E;F;C;H;D;D;A;H;F;B;B;G;G;C;B;A;F;G;B;C;H;G,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[6, 7, 5, 1, 5, 2, 2, 0, 0, 2, 2, 6, 1, 7, 5, 5, 0, 7, 6, 4, 4, 3, 3, 1, 4, 0, 6, 3, 4, 1, 7, 3]"
363,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,F;D;B;G;H;C;A;C;C;A;H;E;C;F;E;A;G;D;F;B;H;D;B;G;E;G;D;F;H;E;B;A,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[6, 5, 4, 3, 7, 1, 0, 1, 1, 0, 7, 2, 1, 6, 2, 0, 3, 5, 6, 4, 7, 5, 4, 3, 2, 3, 5, 6, 7, 2, 4, 0]"
364,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,E;G;G;H;C;B;B;F;G;H;E;A;C;F;B;C;G;F;E;D;B;H;A;D;H;E;C;A;F;D;A;D,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[2, 3, 3, 7, 1, 4, 4, 6, 3, 7, 2, 0, 1, 6, 4, 1, 3, 6, 2, 5, 4, 7, 0, 5, 7, 2, 1, 0, 6, 5, 0, 5]"
365,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,A;G;B;E;F;G;H;A;B;E;F;C;G;D;A;D;H;C;G;A;H;F;E;B;F;D;C;E;H;C;D;B,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[0, 3, 4, 2, 6, 3, 7, 0, 4, 2, 6, 1, 3, 5, 0, 5, 7, 1, 3, 0, 7, 6, 2, 4, 6, 5, 1, 2, 7, 1, 5, 4]"
366,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,B;C;F;G;B;D;E;H;E;C;F;H;G;B;H;A;G;C;B;D;A;D;E;F;F;A;H;A;C;E;D;G,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[4, 1, 6, 3, 4, 5, 2, 7, 2, 1, 6, 7, 3, 4, 7, 0, 3, 1, 4, 5, 0, 5, 2, 6, 6, 0, 7, 0, 1, 2, 5, 3]"
367,globe_3/4,A;A;C;C;E;E;G;G;A;A;C;C;E;E;G;G;B;B;D;D;F;F;H;H;B;B;D;D;F;F;H;H,D;B;F;G;F;C;A;D;C;E;A;B;F;G;F;C;E;H;A;H;G;D;D;B;E;E;H;H;C;A;G;B,0,"[0, 0, 1, 1, 2, 2, 3, 3, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 4, 4, 5, 5, 6, 6, 7, 7]","[5, 4, 6, 3, 6, 1, 0, 5, 1, 2, 0, 4, 6, 3, 6, 1, 2, 7, 0, 7, 3, 5, 5, 4, 2, 2, 7, 7, 1, 0, 3, 4]"
