Unnamed: 0,0
0,r0
1,r1
2,r2
3,r3
4,f0
5,f1
6,f2
7,f3
8,f4
9,f5
10,f6
11,f7
12,f8
13,f9
14,f10
15,f11
16,f12
17,f13
18,f14
19,f15
20,f16
21,f17
22,f18
23,f19
24,f20
25,f21
26,f22
27,f23
28,f24
29,f25
30,f26
31,f27
32,f28
33,f29
34,f30
35,f31
36,f32
37,f33
38,f34
39,f35
40,f36
41,f37
42,f38
43,f39
44,f40
45,f41
46,f42
47,f43
48,f44
49,f45
50,f46
51,f47
52,f48
53,f49
54,f50
55,f51
56,f52
57,f53
58,f54
59,f55
60,f56
61,f57
62,f58
63,f59
64,f60
65,f61
66,f62
67,f63
68,f64
69,f65
70,-r0
71,-r1
72,-r2
73,-r3
74,-f0
75,-f1
76,-f2
77,-f3
78,-f4
79,-f5
80,-f6
81,-f7
82,-f8
83,-f9
84,-f10
85,-f11
86,-f12
87,-f13
88,-f14
89,-f15
90,-f16
91,-f17
92,-f18
93,-f19
94,-f20
95,-f21
96,-f22
97,-f23
98,-f24
99,-f25
