Num_Children,Group,Income,Own_Car,Own_Housing,Target
4,0,36151,0,0,0
0,0,36095,1,0,0
2,1,62110,1,1,0
0,1,73644,1,0,0
3,0,99146,0,0,1
0,1,114086,1,0,1
2,0,37055,1,0,0
2,1,83130,1,1,1
2,1,81965,1,0,1
3,0,35094,1,0,0
0,0,33464,1,1,0
3,0,56864,1,1,0
2,1,84749,1,1,1
0,0,85370,1,0,0
3,0,96540,1,1,1
0,1,100932,0,0,1
2,0,41623,1,0,0
4,0,78964,0,1,0
1,0,30183,1,0,0
0,0,98391,1,1,1
4,1,106662,0,1,1
0,0,66463,1,0,0
2,0,67477,1,1,0
2,0,46282,1,0,0
1,1,88849,1,1,1
3,1,62689,1,0,0
1,1,118518,1,0,1
2,0,89534,1,1,1
2,0,86549,1,1,1
1,0,62143,1,0,0
3,1,90668,1,1,1
2,0,87154,1,0,1
5,1,72137,1,1,1
0,0,67272,0,0,0
4,0,35734,0,0,0
0,1,43405,0,1,0
0,0,78201,1,0,0
3,1,113089,1,0,1
0,0,80600,1,0,0
5,0,68429,1,0,0
2,1,73043,0,0,0
2,1,100236,0,1,1
1,0,33507,0,0,0
7,1,62894,1,1,0
2,1,85479,1,1,1
2,0,73616,1,0,0
1,1,114377,0,0,1
3,0,70287,1,0,0
3,1,53267,1,0,0
3,0,42509,1,1,0
1,0,37255,1,0,0
1,1,62259,1,1,0
1,1,57044,1,1,0
5,1,66599,1,0,0
1,0,40169,0,0,0
1,0,84739,1,1,1
1,1,100386,1,0,1
2,0,53473,1,0,0
2,0,87493,0,0,0
1,0,55245,1,0,0
1,0,91463,1,0,1
1,0,88774,1,0,0
2,0,61695,0,1,0
0,0,74691,1,0,0
3,0,57640,1,1,0
0,1,85284,1,0,1
4,0,51555,1,0,0
2,1,90649,1,1,1
0,0,87334,1,0,1
2,1,88172,1,1,1
0,1,111545,1,1,1
1,1,92907,1,0,1
0,0,45217,1,1,0
4,0,82669,1,1,1
3,1,88589,1,0,1
0,1,60698,1,1,0
0,0,97969,1,0,1
4,0,78083,1,0,0
4,0,57113,1,0,0
2,0,34311,1,0,0
2,0,70949,0,0,0
3,0,79768,1,0,0
3,0,39730,1,0,0
1,1,71459,1,1,0
5,0,56048,1,0,0
1,1,45916,1,1,0
5,0,52346,1,0,0
1,0,69425,0,0,0
2,0,88042,1,0,0
4,0,37126,1,0,0
0,0,84776,1,1,1
3,0,47524,1,0,0
1,1,88402,1,0,1
1,0,97395,1,0,1
1,0,69612,1,0,0
0,0,31856,1,0,0
0,0,72541,1,0,0
3,1,114710,1,1,1
2,0,96214,1,1,1
1,1,85231,1,1,1
