Video ID,Title,PublishDay,PublishDate,PublishTime,Duration(seconds),Likes,ChannelName,SubscriberCount
ToALTV2Tjwg,Link Up TV Talent Hunt (Shepherd's Bush) Hosted By Harry Pinero,Sunday,11/18/2018,16:30:00,759,5951,Link Up TV,2170000
ToALTV2Tjwg,Link Up TV Talent Hunt (Shepherd's Bush) Hosted By Harry Pinero,Sunday,11/18/2018,16:30:00,759,5951,Link Up TV,2170000
mPISCMyzMk8,Link Up TV Talent Hunt (Croydon)  Hosted By Harry Pinero,Sunday,11/25/2018,16:40:42,754,5203,Link Up TV,2170000
mPISCMyzMk8,Link Up TV Talent Hunt (Croydon)  Hosted By Harry Pinero,Sunday,11/25/2018,16:40:42,754,5203,Link Up TV,2170000
84nMlW5_d7Y,Link Up TV Talent Hunt (Brixton) Hosted By Harry Pinero,Sunday,12/2/2018,17:30:01,555,8182,Link Up TV,2170000
102UhkbLeWw,Link Up TV Talent Hunt (Peckham) Hosted By Harry Pinero,Sunday,12/9/2018,18:00:00,721,7398,Link Up TV,2170000
102UhkbLeWw,Link Up TV Talent Hunt (Peckham) Hosted By Harry Pinero,Sunday,12/9/2018,18:00:00,721,7398,Link Up TV,2170000
SV8r6KXLfSE,Link Up TV Talent Hunt (Stratford) Hosted By Harry Pinero | Christmas Special,Tuesday,12/25/2018,18:00:02,851,13025,Link Up TV,2170000
JUn1dDNC7lY,Link Up TV Talent Hunt (Hyde Park) Hosted By Harry Pinero | 420 Special,Sunday,4/28/2019,17:58:15,911,6977,Link Up TV,2170000
JUn1dDNC7lY,Link Up TV Talent Hunt (Hyde Park) Hosted By Harry Pinero | 420 Special,Sunday,4/28/2019,17:58:15,911,6977,Link Up TV,2170000
5Op5FnqyIow,Link Up TV Talent Hunt (Brighton) Hosted By Harry Pinero | Link Up TV,Sunday,5/12/2019,15:58:46,974,5492,Link Up TV,2170000
2Fa1XMFUxL4,"Harry Pinero Talks Girls, Merky Fest and YouTube Throwbacks | GASWORKS",Thursday,6/6/2019,13:58:47,1565,20472,Boiler Room,3880000
F2p1sqk7lsg,Link Up TV Talent Hunt (Cambridge) Hosted By Harry Pinero | Strawberries & Creem Festival Special,Sunday,6/16/2019,20:58:15,1138,11929,Link Up TV,2170000
