episode_number,episode_id,episode_title,guest,release_day,release_date, duration(seconds) , view_count , likes_count , comment_count ,topic_number,topics
1,k9QmUBSndUA,"Women Aren't In Danger, We Are",,Monday,30/09/2019,2454,134251,5700,358,0, Null 
2,lzuVVVP4ewY,"I Don't Condone Cheating, But…",,Monday,07/10/2019,4998,130691,3900,226,2," Top 5 insecurities every man must face, Monogamy "
3,2vIiBLgUQrk,"Art & Design, We 're Tryna Marry The Two",John Atlas,Monday,14/10/2019,3856,28020,870,32,0, Null 
4,amtQPR-RsKU,Mandem have Feeling Too,,Tuesday,22/10/2019,4061,69186,2500,145,0, Null 
5,5yVDFnVeV8I,"""Do The Right Thing And Get A SideMan""",,Monday,28/10/2019,2494,38695,1800,79,0, Null 
6,qX6-O64UAoI,He Slapped Me Down The Aisle & Back Up The Aisle,,Monday,04/11/2019,2526,45075,1600,80,3," Fuhad's upbringing in an African household and the scars that come with it, memories of bone chilling playground scraps, as well as the self sabotage associated with checking your partners phone "
7,4qEjytQe6RU,I Wish I Was Into More Kinky Sh*t,,Monday,11/11/2019,2363,58149,2100,92,2," Lack of libido or infrequent affection can give your partner a complex, James' disappointment that he isn't into more anal play "
8,hi9qGDxRwkI,"""I Wonder How Old She Is"" = Jail",,Monday,18/11/2019,2774,51930,1800,61,5," Tinder is ruining club hook ups, Each others approach to the opposite sex, James expresses his hatred for a certain 3 magic words, Fuhad shares some secret techniques, The increase in female teacher sex scandals and why weren't they invited "
9,UIiW2GQQAJw,Get Heartbroken More Often,,Monday,25/11/2019,2475,41861,1600,72,3," Joys of being vulnerable and the rollercoaster it ensues, Fuhad breaks down a traditional marriage, James brings up a controversial conversation he had with a work colleague. "
10,O85xoS4MRAo`,No…That Doesn't Make Me Gay,,Monday,02/12/2019,2770,47166,1500,73,2," A story that James' brother told him which leads them on to the topic of the French perspective of Monogamy, James puts Fuhad in the corner and forces him to confront his sexuality head on. "
11,jbKaxEoxXfQ,One For The Movie Buffs,Boy Genius,Monday,09/12/2019,4351,17638,538,38,0, Null 
12,BYu-jkf318M,Stripper Gave Me The Girlfriend Experience,,Thursday,19/12/2019,2380,42837,1600,58,2," Evening at the strip club the night before and explain what makes a good dance and a bad one, The guys also delve into the details about a job they once had selling their bodies for quick cash "
13,homnE0l6VpE,The Day James Cheated On Fuhad!,,Monday,23/12/2019,2438,117105,3700,128,2," The perfect type of side boob, James reflects on times on his life where he was an emotional wreck during break ups "
14,cXxaWAq1bjg,That's Just My Truth,Jacob Banks,Monday,30/12/2019,3120,27051,1000,39,3," They discuss the bad memories that come with being on either side of bullying, Jacobs views on relationships as well as his life as a touring artist, The struggles it took to leave education and follow his dreams "
15,u9js5vMtWrc,"New Year, Same Fxcking Me",,Thursday,13/01/2020,2652,35149,1200,72,4," James explains how he would handle a home invasion, They also discuss the golden globes, That new Kevin Hart documentary, The wonders of Anime "
16,uuU2T-uFw_M,"Racial Profiling, Or Flat Out Fear?!",,Monday,20/01/2020,4450,44383,1800,130,4,"This week James rants about his views on vegan contradictions, Re-lives a movie rape scene he watched a few weeks ago, Fuhad gets a taste of what it feels like to be a female constantly under male harassment, The guys also get into some deep memories of times they have experienced some good old fashioned racial profiling."
17,0OCaq407y6I,That Yummy Yummy,,Monday,27/01/2020,2598,29220,1200,34,5,"Justin Bieber's transition to 'Bugatti Biebs' with the new hit 'Yummy', James rants about people making excuses for not chasing happiness, Describes the traumatic experience he had and why he now cant talk to girls, Fuhad remembers tales of his Thicc crush making fools of mankind, Adverse reaction to recreational drug use."
18,7eHDgM4qBCc,D*ck Pics By Request,,Monday,03/02/2020,2261,31833,1400,83,3,"Perplexed by a females fascination in a penis and how to pattern the perfect d*ck pic, James shares a traumatic childhood tale about sexual confusion and fond memories of parental beatings, The guys also get deep about finding the jest in all of life's hardships and the importance of forgiveness"
19,YnTQeuZi-40,"They Be Crazy, Spiteful & Can't Communicate",,Monday,10/02/2020,2472,31039,1300,83,5,"Female tendencies in a relationship, Why people should chase happiness over everything, They joke about typical arguments in a relationship and the comparisons between romantic relationships, friendships as well as business, They take time to reflect on their past relationships where the women were straight crazy, spiteful and couldn't communicate worth a damn."
20,zzUTFNWj1VA,Blame It On The Ski Tone,,Monday,09/03/2020,3018,29656,1100,99,5,"Light skin vs dark skin fresh trims, How to eradicate the word N*gger from todays society, They recap on the Netflix show 'Don't F*ck with Cats', How easy it is for gay guys to hook up, They also each share stories on their own experiences with the police"
21,t8sBAbfh6Kg,F*ckboy…Ism,,Monday,23/03/2020,4273,33977,1700,102,3," The Good, the Bad and the Funny sides of being a fuckboy, They try their hands at some improvisational rapping with terrible results, Talk about the hardships of keeping the podcast running but how worth it, it is "
22,q7dchnxEQ28,Sex Shows In Amsterdam,,Tuesday,30/03/2020,2190,29979,1300,31,4,"Fuhads birthday festivities, Fuhad explains his life changing museum experience whilst high on space cake and the educational sex show that night, James explains why he could never sleep with a prostitute, Find out how much it would cost to convince the guys to have a train run on them"
23,m-_brbh_mSo,Disguising Sh*ts With Showers,,Monday,06/04/2020,2039,30266,1500,63,3," The art of disguising farts and bowel movements from your partner, James shares some horror stories about the times worst came to worse, Fuhad talks about the old shower and music trick to hide his shame. "
24,eFX7oxRxUWs,My School Needed 'Me Too',,Monday,13/04/2020,2493,33321,1300,52,4,"Golden Age of Myspace and Msn, James talks about the hardships the early blooming girls received in his high school, The guys go back to the topic of porn as a teen and getting caught by their parents, Finally they talk about the pro's and con's of visiting Australia such as the smoking hot chicks and the lessons learned from Coyote Peterson and Steve Irwin"
25,ZFg3_aTtdTk,Scum In England,,Monday,20/04/2020,2082,26488,1000,37,4," Cigarrettes, Chavs, Gambling, Instagram Queens and Kings "
26,ciBSuEyMDAk,F*ck This Sh*t I'm Out,,Monday,27/04/2020,2220,29904,1300,46,13,"James hating his job, Quitting your job to do what you love, Office politics, Fear of making the first step, Patreon, No risk No reward, How to Start a Podcast, Ambition, Saturated Markets, Being the Star of your own Movie, Aston Martins, Childhood Dreams, Winning The Lottery"
27,qF0uxkMSweA,The Origin Story,,Monday,04/05/2020,2246,24816,1300,46,8," The First Time They Met and How The Podcast Came To Be, Behind The Scenes Stories, Being Independent, Acting Like An Adult, Suffering From Anxiety, University, Freshers Week, Driving Lessons "
28,3KG1-QdeGf0,Corona-19 Or Mony Heist?,,Monday,11/05/2020,3006,15339,768,42,6," Corona Virus, Social Distancing, Boris Johnson, Quarantine, NHS, Am I The Arsehole? "
29,vkCWimwVlvM,Red Flags,,Monday,18/05/2020,3002,42905,1600,214,8," Big D*ck Energy, 40 Year Old Virgin, Red Flags, Borrowing Money, Black Women, Interracial Relationships, Crazy Men and Women, Bullying "
30,4IPPMwBSuWI,Get A Sideman…Again,,Monday,25/05/2020,3083,30065,1200,63,6," Rape Fantasies, Getting a Sideman, Quality Of Life, Being Selfish, Open Relationships, Happiness Over Everything "
31,L_ibgHTRQpU,The Scene Of The Crime,,Monday,01/06/2020,2528,29825,1300,61,4," TikTok Pervs,Don't Fuck With Cats, Fuhads Interrogation, Am I The Asshole "
32,Vk6EnxtuP1E,Anthropomorphic?,,Monday,08/06/2020,3083,29885,1100,43,10," Taking Your Own Advice, Dave Chappelle, The Pharmacist, Three Identical Strangers, Ambition, Amadeus, Comedy, Money Makes People Crazy, Being Broke, The Concept of Lying "
33,5RHf_JwCAe4,I Think I Broke It,,Monday,15/06/2020,2223,27034,1100,49,7," Childish Gambino, Joe Rogan, Nutting In Your Pants, Adolescent Hormones, Piercings, Going Rounds, Am I The Asshole "
34,p_qlORbz7TM,No Means No,,Monday,22/06/2020,2307,29318,1200,72,4," Harvey Weinstein, Manipulation, No Means No, Fuhad Puts James In a Predicament "
35,J_jS2n4GCWs,Fuhads Fantasy,,Monday,29/06/2020,2677,32011,1300,53,6," Getting Your First Phone, Running Late, Talking To Yourself, Instagram, Kylie Jenner, Fuhads Fantasy Date "
36,jXqozN-X5iY,George Floyd,,Monday,06/07/2020,5529,23136,890,89,5," The SNG Merch Launch, The George Floyd Tragedy, Racism Worldwide, Competition Winners, Am I The Asshole "
37,IV46VtKEKWI,We Suck To Save,,Monday,13/07/2020,3627,41829,1800,81,9," Sucking To Save, Being A World Hero, Third Person Perspective, Jeffrey Epstein Documentary, Being A Victim, Not Everyday Netflix and Chill, Gender Role Reversals, Holding Your Dignity, AITA "
38,Cts7oYy9Eq0,Would You Rather?,,Monday,20/07/2020,2525,30817,1300,71,11," Would You Rathers, Post Nut Shame, Year One, Steroids, Getting Thiqué, Body Shaming, Bar Crawls, Lying To Yourself, Chasing Your Passion, Living Life For a Living, AITA "
39,AMKRpQOxHnc,Every Guy Has Done It,,Monday,27/07/2020,3238,43484,1800,98,5," A Would You Rather, Fan Questions, Red Sheets, Call Her Daddy Beef, AITA "
40,LXsEQt6Sn-I,Story Time!,,Monday,03/08/2020,2920,31124,1400,86,9," Bugs, Evolution , Cockroach Story, Aiya Napa, Nigeria, SNG On Tour, Australia, Sky Diving, AITA "
41,NVQwrLVfj6s,Riddled With Guilt,,Monday,10/08/2020,2982,30756,1300,35,8," Feeling Guilty, Throwing Fuhad Under The Bus, James and Fuhad Are Getting Old, After Parties, Swine Flu, Malaria, Sleeping At The Wheel, Fuhad Nearly Losing A Testicle "
42,r7hi5sJ0SAk,Pull Out Game,,Monday,17/08/2020,3381,68532,2700,252,8," Mission 1k, Group Chats, Lightskin Jokes, Doppelgangers, 1000lbs Sisters, Catfish, The Girl In The Red Dress, AITA "
43,eMRA_Q2gLg4,We Are The A-Holes,,Monday,24/08/2020,2815,32917,1500,60,5," White Lines, Rabbit Holes, Previous Relationships, Break-Ups Over Text, AITA "
44,47oJ2n1wtLw,Dating Around,,Monday,26/10/2020,3787,40889,1700,84,5," Fan Requests, Dating Around, Rough vs Love, Terrace House, AITA "
