RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Class,Topic,Question,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Type,Data_Value,Age,Gender,Ethnicity,Geolocation
BRFSS~2021~2021~9004~Q43~TOC11~AGE~RACE,2021,2021,WEST,West,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,28.8,34.4,Percentage,31.6,,,Hispanic,
BRFSS~2017~2017~9001~Q43~TOC11~AGE~OVERALL,2017,2017,NRE,Northeast,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,49.1,51.6,Percentage,50.3,65 years or older,,,
BRFSS~2019~2019~9002~Q02~TNC02~AGE~OVERALL,2019,2019,MDW,Midwest,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,13.8,14.8,Percentage,14.3,,,,
BRFSS~2020~2020~59~Q43~TOC11~AGE~GENDER,2020,2020,US,"United States, DC & Territories",Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,54.5,56.4,Percentage,55.5,65 years or older,Female,,
BRFSS~2020~2020~33~Q03~TMC01~AGE~GENDER,2020,2020,NH,New Hampshire,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,12.8,18.0,Percentage,15.2,50-64 years,Female,,POINT (-71.50036091999965 43.65595011300047)
BRFSS~2015~2015~9002~Q43~TOC11~AGE~RACE,2015,2015,MDW,Midwest,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,48.4,70.2,Percentage,59.8,65 years or older,,Native Am/Alaskan Native,
BRFSS~2020~2020~59~Q35~TOC03~AGE~GENDER,2020,2020,US,"United States, DC & Territories",Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,5.8,6.5,Mean,6.2,65 years or older,Male,,
BRFSS~2021~2021~9001~Q18~TSC08~AGE~OVERALL,2021,2021,NRE,Northeast,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,60.2,61.8,Percentage,61.0,,,,
BRFSS~2021~2021~17~Q08~TOC01~AGE~GENDER,2021,2021,IL,Illinois,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),2.6,4.6,Mean,3.6,50-64 years,Male,,POINT (-88.99771017799969 40.48501028300046)
BRFSS~2020~2020~50~Q34~TOC09~AGE~OVERALL,2020,2020,VT,Vermont,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),66.4,71.6,Percentage,69.1,50-64 years,,,POINT (-72.51764079099962 43.62538123900049)
