Date,Open,High,Low,Close,(High-Low),(Open-Close)
01-01-2024,20507.21,20651.56,20456.08,20567.06,195.48,-59.85
29-12-2023,20342.3,20487.66,20288.98,20467.98,198.68,-125.68
28-12-2023,20092.59,20317.48,20059.18,20292.76,258.3,-200.17
27-12-2023,20016.43,20072.04,19957.22,20044.26,114.82,-27.83
26-12-2023,19918.82,19991.86,19884.04,19965.92,107.82,-47.1
22-12-2023,19792.07,19857.58,19678.01,19837.87,179.57,-45.8
21-12-2023,19513.4,19767.42,19429.29,19720.64,338.13,-207.24
20-12-2023,19995.1,20016.73,19590.82,19632.53,425.91,362.57
19-12-2023,19584.77,19789.14,19566.78,19760.0,222.36,-175.23
18-12-2023,19548.72,19560.77,19499.04,19518.81,61.73,29.91
15-12-2023,19708.95,19712.52,19497.31,19573.38,215.21,135.57
14-12-2023,19698.67,19699.45,19494.05,19635.6,205.4,63.07
13-12-2023,19528.79,19593.86,19427.55,19575.36,166.31,-46.57
12-12-2023,19559.22,19641.09,19412.73,19444.01,228.36,115.21
11-12-2023,19466.64,19518.38,19365.36,19498.84,153.02,-32.2
08-12-2023,19652.08,19706.19,19353.36,19382.52,352.83,269.56
07-12-2023,19781.26,19784.7,19580.81,19603.44,203.89,177.82
06-12-2023,19623.54,19855.72,19616.99,19770.95,238.73,-147.41
05-12-2023,19665.87,19711.07,19545.5,19569.73,165.57,96.14
04-12-2023,19658.78,19659.32,19498.1,19595.59,161.22,63.19
01-12-2023,19212.51,19479.93,19212.51,19451.2,267.42,-238.69
30-11-2023,19083.73,19214.84,19042.74,19157.37,172.1,-73.64
29-11-2023,19012.7,19090.26,19009.08,19070.57,81.18,-57.87
28-11-2023,19035.8,19047.34,18964.39,18985.66,82.95,50.14
24-11-2023,19126.45,19157.91,19006.17,19014.0,151.74,112.45
23-11-2023,19071.61,19127.62,19053.0,19108.51,74.62,-36.9
22-11-2023,19015.24,19064.24,18918.03,19049.69,146.21,-34.45
21-11-2023,19010.36,19055.6,18963.83,18984.83,91.77,25.53
20-11-2023,19093.59,19116.69,18966.22,19006.81,150.47,86.78
17-11-2023,18923.44,19102.48,18914.96,19075.94,187.52,-152.5
16-11-2023,18984.65,19071.54,18909.31,18926.51,162.23,58.14
15-11-2023,18897.21,18988.41,18856.16,18975.51,132.25,-78.3
13-11-2023,18883.52,18889.77,18796.85,18840.85,92.92,42.67
12-11-2023,19023.17,19023.17,18904.61,18914.06,118.56,109.11
10-11-2023,18819.46,18855.87,18706.09,18831.54,149.78,-12.08
09-11-2023,19015.4,19017.9,18792.8,18800.41,225.1,214.99
08-11-2023,18894.51,18985.85,18869.73,18967.9,116.12,-73.39
07-11-2023,18836.58,18879.89,18789.46,18864.33,90.43,-27.75
06-11-2023,18830.46,18859.38,18788.23,18833.29,71.15,-2.83
03-11-2023,18723.61,18774.04,18681.5,18749.64,92.54,-26.03
02-11-2023,18565.76,18658.62,18502.11,18641.21,156.51,-75.45
01-11-2023,18570.72,18597.79,18428.63,18459.7,169.16,111.02
31-10-2023,18518.35,18592.12,18486.02,18518.38,106.1,-0.03
30-10-2023,18553.62,18570.08,18424.28,18495.51,145.8,58.11
27-10-2023,18445.88,18607.42,18415.35,18560.81,192.07,-114.93
26-10-2023,18361.17,18438.02,18233.34,18391.58,204.68,-30.41
25-10-2023,18527.0,18638.43,18355.68,18462.03,282.75,64.97
23-10-2023,18761.88,18785.21,18514.35,18541.67,270.86,220.21
20-10-2023,18947.74,18948.47,18731.11,18748.67,217.36,199.07
19-10-2023,18911.04,19058.38,18874.44,19006.47,183.94,-95.43
18-10-2023,19102.19,19118.03,18963.38,18985.7,154.65,116.49
17-10-2023,19020.55,19130.96,18975.5,19064.49,155.46,-43.94
16-10-2023,18992.93,19035.81,18930.68,18958.84,105.13,34.09
13-10-2023,18938.53,19058.9,18885.69,19012.71,173.21,-74.18
12-10-2023,18970.02,19005.05,18855.63,18964.88,149.42,5.14
11-10-2023,18811.48,18946.02,18807.36,18913.12,138.66,-101.64
10-10-2023,18660.14,18769.36,18654.51,18753.61,114.85,-93.47
09-10-2023,18615.91,18680.89,18513.87,18619.53,167.02,-3.62
06-10-2023,18599.37,18732.81,18597.35,18676.45,135.46,-77.08
