species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE
Adelie,Torgersen,34.1,18.1,193.0,3475.0,
Adelie,Torgersen,42.0,20.2,190.0,4250.0,
Adelie,Torgersen,37.8,17.1,186.0,3300.0,
Adelie,Torgersen,37.8,17.3,180.0,3700.0,
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
Adelie,Biscoe,40.5,18.9,180.0,3950.0,MALE
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE
Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
Adelie,Dream,39.8,19.1,184.0,4650.0,MALE
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE
Adelie,Dream,40.8,18.4,195.0,3900.0,MALE
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE
Adelie,Dream,39.6,18.8,190.0,4600.0,MALE
Adelie,Dream,41.1,19.0,182.0,3425.0,MALE
Adelie,Dream,37.5,18.9,179.0,2975.0,
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE
Adelie,Dream,42.3,21.2,191.0,4150.0,MALE
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE
Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE
Adelie,Biscoe,41.4,18.6,191.0,3700.0,MALE
Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE
Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE
Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE
Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE
Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE
Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE
Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE
Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE
Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE
Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE
Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE
Adelie,Dream,36.3,19.5,190.0,3800.0,MALE
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE
Adelie,Dream,38.3,19.2,189.0,3950.0,MALE
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE
Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE
Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE
Adelie,Dream,40.3,18.5,196.0,4350.0,MALE
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE
